hour;minute;second;event;total
13;18;23;EventSent;483
13;18;24;EventSent;706
13;18;25;EventSent;761
13;18;26;EventSent;770
13;18;27;EventSent;749
13;18;28;EventSent;787
13;18;29;EventSent;772
13;18;30;EventSent;804
13;18;31;EventSent;818
13;18;32;EventSent;815
13;18;33;EventSent;816
13;18;34;EventSent;797
13;18;35;EventSent;790
13;18;36;EventSent;842
13;18;37;EventSent;844
13;18;38;EventSent;851
13;18;39;EventSent;864
13;18;40;EventSent;855
13;18;41;EventSent;865
13;18;42;EventSent;876
13;18;43;EventSent;854
13;18;44;EventSent;853
13;18;45;EventSent;854
13;18;46;EventSent;841
13;18;47;EventSent;863
13;18;48;EventSent;851
13;18;49;EventSent;863
13;18;50;EventSent;856
13;18;51;EventSent;846
13;18;52;EventSent;863
13;18;53;EventSent;838
13;18;54;EventSent;864
13;18;55;EventSent;847
13;18;56;EventSent;812
13;18;57;EventSent;779
13;18;58;EventSent;849
13;18;59;EventSent;859
13;19;00;EventSent;860
13;19;01;EventSent;846
13;19;02;EventSent;872
13;19;03;EventSent;877
13;19;04;EventSent;853
13;19;05;EventSent;860
13;19;06;EventSent;859
13;19;07;EventSent;870
13;19;08;EventSent;869
13;19;09;EventSent;870
13;19;10;EventSent;865
13;19;11;EventSent;864
13;19;12;EventSent;856
13;19;13;EventSent;864
13;19;14;EventSent;857
13;19;15;EventSent;872
13;19;16;EventSent;847
13;19;17;EventSent;861
13;19;18;EventSent;853
13;19;19;EventSent;861
13;19;20;EventSent;859
13;19;21;EventSent;858
13;19;22;EventSent;863
13;19;23;EventSent;869
13;19;24;EventSent;870
13;19;25;EventSent;875
13;19;26;EventSent;855
13;19;27;EventSent;839
13;19;28;EventSent;871
13;19;29;EventSent;868
13;19;30;EventSent;869
13;19;31;EventSent;847
13;19;32;EventSent;864
13;19;33;EventSent;867
13;19;34;EventSent;864
13;19;35;EventSent;868
13;19;36;EventSent;863
13;19;37;EventSent;868
13;19;38;EventSent;862
13;19;39;EventSent;863
13;19;40;EventSent;858
13;19;41;EventSent;859
13;19;42;EventSent;866
13;19;43;EventSent;868
13;19;44;EventSent;864
13;19;45;EventSent;859
13;19;46;EventSent;854
13;19;47;EventSent;874
13;19;48;EventSent;860
13;19;49;EventSent;858
13;19;50;EventSent;876
13;19;51;EventSent;853
13;19;52;EventSent;861
13;19;53;EventSent;877
13;19;54;EventSent;880
13;19;55;EventSent;879
13;19;56;EventSent;849
13;19;57;EventSent;859
13;19;58;EventSent;862
13;19;59;EventSent;863
13;20;00;EventSent;874
13;20;01;EventSent;839
13;20;02;EventSent;862
13;20;03;EventSent;867
13;20;04;EventSent;880
13;20;05;EventSent;870
13;20;06;EventSent;862
13;20;07;EventSent;861
13;20;08;EventSent;867
13;20;09;EventSent;865
13;20;10;EventSent;858
13;20;11;EventSent;847
13;20;12;EventSent;875
13;20;13;EventSent;865
13;20;14;EventSent;873
13;20;15;EventSent;858
13;20;16;EventSent;855
13;20;17;EventSent;867
13;20;18;EventSent;866
13;20;19;EventSent;859
13;20;20;EventSent;883
13;20;21;EventSent;859
13;20;22;EventSent;866
