hour;minute;second;event;total
12;35;21;AckSent;127
12;35;21;EventSent;134
12;35;22;AckSent;398
12;35;22;EventSent;337
12;35;23;AckSent;380
12;35;23;EventSent;364
12;35;24;AckSent;401
12;35;24;EventSent;385
12;35;25;AckSent;389
12;35;25;EventSent;383
12;35;26;AckSent;356
12;35;26;EventSent;385
12;35;27;AckSent;427
12;35;27;EventSent;391
12;35;28;AckSent;357
12;35;28;EventSent;401
12;35;29;AckSent;407
12;35;29;EventSent;401
12;35;30;AckSent;417
12;35;30;EventSent;405
12;35;31;AckSent;371
12;35;31;EventSent;391
12;35;32;AckSent;401
12;35;32;EventSent;399
12;35;33;AckSent;381
12;35;33;EventSent;396
12;35;34;AckSent;401
12;35;34;EventSent;414
12;35;35;AckSent;448
12;35;35;EventSent;429
12;35;36;AckSent;421
12;35;36;EventSent;427
12;35;37;AckSent;437
12;35;37;EventSent;426
12;35;38;AckSent;427
12;35;38;EventSent;428
12;35;39;AckSent;398
12;35;39;EventSent;424
12;35;40;AckSent;399
12;35;40;EventSent;421
12;35;41;AckSent;461
12;35;41;EventSent;431
12;35;42;AckSent;465
12;35;42;EventSent;432
12;35;43;AckSent;425
12;35;43;EventSent;428
12;35;44;AckSent;432
12;35;44;EventSent;430
12;35;45;AckSent;456
12;35;45;EventSent;421
12;35;46;AckSent;416
12;35;46;EventSent;434
12;35;47;AckSent;412
12;35;47;EventSent;436
12;35;48;AckSent;393
12;35;48;EventSent;431
12;35;49;AckSent;390
12;35;49;EventSent;426
12;35;50;AckSent;466
12;35;50;EventSent;434
12;35;51;AckSent;441
12;35;51;EventSent;437
12;35;52;AckSent;416
12;35;52;EventSent;430
12;35;53;AckSent;432
12;35;53;EventSent;414
12;35;54;AckSent;439
12;35;54;EventSent;426
12;35;55;AckSent;455
12;35;55;EventSent;428
12;35;56;AckSent;436
12;35;56;EventSent;436
12;35;57;AckSent;450
12;35;57;EventSent;442
12;35;58;AckSent;432
12;35;58;EventSent;436
12;35;59;AckSent;417
12;35;59;EventSent;435
12;36;00;AckSent;399
12;36;00;EventSent;431
12;36;01;AckSent;417
12;36;01;EventSent;438
12;36;02;AckSent;429
12;36;02;EventSent;434
12;36;03;AckSent;440
12;36;03;EventSent;438
12;36;04;AckSent;387
12;36;04;EventSent;436
12;36;05;AckSent;457
12;36;05;EventSent;442
12;36;06;AckSent;422
12;36;06;EventSent;433
12;36;07;AckSent;398
12;36;07;EventSent;435
12;36;08;AckSent;440
12;36;08;EventSent;440
12;36;09;AckSent;446
12;36;09;EventSent;433
12;36;10;AckSent;421
12;36;10;EventSent;444
12;36;11;AckSent;426
12;36;11;EventSent;439
12;36;12;AckSent;473
12;36;12;EventSent;436
12;36;13;AckSent;418
12;36;13;EventSent;438
12;36;14;AckSent;445
12;36;14;EventSent;436
12;36;15;AckSent;440
12;36;15;EventSent;446
12;36;16;AckSent;451
12;36;16;EventSent;443
12;36;17;AckSent;442
12;36;17;EventSent;440
12;36;18;AckSent;424
12;36;18;EventSent;438
12;36;19;AckSent;459
12;36;19;EventSent;440
