hour;minute;second;event;total
12;35;21;AckSent;211
12;35;21;EventSent;246
12;35;22;AckSent;554
12;35;22;EventSent;339
12;35;23;AckSent;703
12;35;23;EventSent;373
12;35;24;AckSent;730
12;35;24;EventSent;393
12;35;25;AckSent;833
12;35;25;EventSent;400
12;35;26;AckSent;794
12;35;26;EventSent;399
12;35;27;AckSent;780
12;35;27;EventSent;402
12;35;28;AckSent;791
12;35;28;EventSent;401
12;35;29;AckSent;775
12;35;29;EventSent;403
12;35;30;AckSent;778
12;35;30;EventSent;415
12;35;31;AckSent;767
12;35;31;EventSent;424
12;35;32;AckSent;822
12;35;32;EventSent;424
12;35;33;AckSent;829
12;35;33;EventSent;425
12;35;34;AckSent;756
12;35;34;EventSent;441
12;35;35;AckSent;831
12;35;35;EventSent;436
12;35;36;AckSent;847
12;35;36;EventSent;440
12;35;37;AckSent;819
12;35;37;EventSent;430
12;35;38;AckSent;797
12;35;38;EventSent;438
12;35;39;AckSent;867
12;35;39;EventSent;442
12;35;40;AckSent;862
12;35;40;EventSent;439
12;35;41;AckSent;855
12;35;41;EventSent;440
12;35;42;AckSent;818
12;35;42;EventSent;433
12;35;43;AckSent;870
12;35;43;EventSent;438
12;35;44;AckSent;835
12;35;44;EventSent;436
12;35;45;AckSent;824
12;35;45;EventSent;437
12;35;46;AckSent;812
12;35;46;EventSent;431
12;35;47;AckSent;871
12;35;47;EventSent;434
12;35;48;AckSent;866
12;35;48;EventSent;441
12;35;49;AckSent;852
12;35;49;EventSent;441
12;35;50;AckSent;811
12;35;50;EventSent;439
12;35;51;AckSent;806
12;35;51;EventSent;423
12;35;52;AckSent;838
12;35;52;EventSent;423
12;35;53;AckSent;832
12;35;53;EventSent;442
12;35;54;AckSent;842
12;35;54;EventSent;444
12;35;55;AckSent;827
12;35;55;EventSent;438
12;35;56;AckSent;877
12;35;56;EventSent;446
12;35;57;AckSent;841
12;35;57;EventSent;439
12;35;58;AckSent;878
12;35;58;EventSent;438
12;35;59;AckSent;876
12;35;59;EventSent;439
12;36;00;AckSent;869
12;36;00;EventSent;445
12;36;01;AckSent;889
12;36;01;EventSent;440
12;36;02;AckSent;872
12;36;02;EventSent;441
12;36;03;AckSent;840
12;36;03;EventSent;436
12;36;04;AckSent;930
12;36;04;EventSent;445
12;36;05;AckSent;838
12;36;05;EventSent;443
12;36;06;AckSent;908
12;36;06;EventSent;446
12;36;07;AckSent;929
12;36;07;EventSent;441
12;36;08;AckSent;933
12;36;08;EventSent;446
12;36;09;AckSent;849
12;36;09;EventSent;442
12;36;10;AckSent;932
12;36;10;EventSent;438
12;36;11;AckSent;825
12;36;11;EventSent;447
12;36;12;AckSent;790
12;36;12;EventSent;438
12;36;13;AckSent;869
12;36;13;EventSent;441
12;36;14;AckSent;822
12;36;14;EventSent;445
12;36;15;AckSent;852
12;36;15;EventSent;443
12;36;16;AckSent;857
12;36;16;EventSent;444
12;36;17;AckSent;826
12;36;17;EventSent;441
12;36;18;AckSent;850
12;36;18;EventSent;441
12;36;19;AckSent;819
12;36;19;EventSent;438
12;36;20;AckSent;816
12;36;20;EventSent;439
12;36;21;AckSent;799
12;36;21;EventSent;436
12;36;22;AckSent;825
12;36;22;EventSent;437
12;36;23;AckSent;836
12;36;23;EventSent;440
12;36;24;AckSent;858
12;36;24;EventSent;438
12;36;25;AckSent;855
12;36;25;EventSent;444
12;36;26;AckSent;858
12;36;26;EventSent;445
12;36;27;AckSent;849
12;36;27;EventSent;436
12;36;28;AckSent;884
12;36;28;EventSent;445
12;36;29;AckSent;857
12;36;29;EventSent;444
12;36;30;AckSent;902
12;36;30;EventSent;446
12;36;31;AckSent;827
12;36;31;EventSent;446
12;36;32;AckSent;874
12;36;32;EventSent;436
12;36;33;AckSent;822
12;36;33;EventSent;445
12;36;34;AckSent;906
12;36;34;EventSent;443
12;36;35;AckSent;810
12;36;35;EventSent;437
12;36;36;AckSent;843
12;36;36;EventSent;435
12;36;37;AckSent;866
12;36;37;EventSent;437
12;36;38;AckSent;890
12;36;38;EventSent;447
12;36;39;AckSent;840
12;36;39;EventSent;445
12;36;40;AckSent;874
12;36;40;EventSent;442
12;36;41;AckSent;881
12;36;41;EventSent;442
12;36;42;AckSent;888
12;36;42;EventSent;440
12;36;43;AckSent;852
12;36;43;EventSent;441
12;36;44;AckSent;893
12;36;44;EventSent;444
12;36;45;AckSent;919
12;36;45;EventSent;444
12;36;46;AckSent;839
12;36;46;EventSent;442
12;36;47;AckSent;864
12;36;47;EventSent;437
12;36;48;AckSent;829
12;36;48;EventSent;439
12;36;49;AckSent;883
12;36;49;EventSent;443
12;36;50;AckSent;866
12;36;50;EventSent;448
12;36;51;AckSent;844
12;36;51;EventSent;430
12;36;52;AckSent;870
12;36;52;EventSent;442
12;36;53;AckSent;875
12;36;53;EventSent;444
12;36;54;AckSent;892
12;36;54;EventSent;435
12;36;55;AckSent;884
12;36;55;EventSent;444
12;36;56;AckSent;881
12;36;56;EventSent;440
12;36;57;AckSent;891
12;36;57;EventSent;441
12;36;58;AckSent;861
12;36;58;EventSent;450
12;36;59;AckSent;874
12;36;59;EventSent;438
12;37;00;AckSent;935
12;37;00;EventSent;443
12;37;01;AckSent;894
12;37;01;EventSent;445
12;37;02;AckSent;887
12;37;02;EventSent;442
12;37;03;AckSent;867
12;37;03;EventSent;447
12;37;04;AckSent;850
12;37;04;EventSent;440
12;37;05;AckSent;883
12;37;05;EventSent;436
12;37;06;AckSent;859
12;37;06;EventSent;446
12;37;07;AckSent;868
12;37;07;EventSent;441
12;37;08;AckSent;881
12;37;08;EventSent;445
12;37;09;AckSent;894
12;37;09;EventSent;439
12;37;10;AckSent;883
12;37;10;EventSent;449
12;37;11;AckSent;904
12;37;11;EventSent;433
12;37;12;AckSent;902
12;37;12;EventSent;436
12;37;13;AckSent;880
12;37;13;EventSent;446
12;37;14;AckSent;910
12;37;14;EventSent;446
12;37;15;AckSent;879
12;37;15;EventSent;447
12;37;16;AckSent;851
12;37;16;EventSent;443
12;37;17;AckSent;862
12;37;17;EventSent;433
12;37;18;AckSent;885
12;37;18;EventSent;440
12;37;19;AckSent;856
12;37;19;EventSent;443
12;37;20;AckSent;913
12;37;20;EventSent;440
12;37;21;AckSent;854
12;37;21;EventSent;436
12;37;22;AckSent;832
12;37;22;EventSent;436
12;37;23;AckSent;919
12;37;23;EventSent;441
12;37;24;AckSent;898
12;37;24;EventSent;442
12;37;25;AckSent;866
12;37;25;EventSent;441
12;37;26;AckSent;888
12;37;26;EventSent;446
12;37;27;AckSent;935
12;37;27;EventSent;442
12;37;28;AckSent;894
12;37;28;EventSent;438
12;37;29;AckSent;960
12;37;29;EventSent;439
12;37;30;AckSent;897
12;37;30;EventSent;445
12;37;31;AckSent;863
12;37;31;EventSent;437
12;37;32;AckSent;917
12;37;32;EventSent;439
12;37;33;AckSent;910
12;37;33;EventSent;443
12;37;34;AckSent;882
12;37;34;EventSent;448
12;37;35;AckSent;917
12;37;35;EventSent;449
12;37;36;AckSent;833
12;37;36;EventSent;444
12;37;37;AckSent;884
12;37;37;EventSent;441
12;37;38;AckSent;933
12;37;38;EventSent;442
12;37;39;AckSent;873
12;37;39;EventSent;439
12;37;40;AckSent;825
12;37;40;EventSent;443
12;37;41;AckSent;897
12;37;41;EventSent;445
12;37;42;AckSent;857
12;37;42;EventSent;439
12;37;43;AckSent;880
12;37;43;EventSent;447
12;37;44;AckSent;882
12;37;44;EventSent;444
12;37;45;AckSent;864
12;37;45;EventSent;440
12;37;46;AckSent;859
12;37;46;EventSent;435
12;37;47;AckSent;842
12;37;47;EventSent;437
12;37;48;AckSent;857
12;37;48;EventSent;444
12;37;49;AckSent;876
12;37;49;EventSent;447
12;37;50;AckSent;870
12;37;50;EventSent;444
12;37;51;AckSent;846
12;37;51;EventSent;434
12;37;52;AckSent;873
12;37;52;EventSent;429
12;37;53;AckSent;839
12;37;53;EventSent;444
12;37;54;AckSent;832
12;37;54;EventSent;438
12;37;55;AckSent;865
12;37;55;EventSent;445
12;37;56;AckSent;853
12;37;56;EventSent;440
12;37;57;AckSent;876
12;37;57;EventSent;436
12;37;58;AckSent;886
12;37;58;EventSent;437
12;37;59;AckSent;862
