hour;minute;second;event;total
14;01;51;EventSent;14
14;01;52;EventSent;627
14;01;53;EventSent;658
14;01;54;EventSent;776
14;01;55;EventSent;770
14;01;56;EventSent;781
14;01;57;EventSent;802
14;01;58;EventSent;809
14;01;59;EventSent;823
14;02;00;EventSent;846
14;02;01;EventSent;846
14;02;02;EventSent;852
14;02;03;EventSent;821
14;02;04;EventSent;848
14;02;05;EventSent;846
14;02;06;EventSent;875
14;02;07;EventSent;851
14;02;08;EventSent;860
14;02;09;EventSent;868
14;02;10;EventSent;884
14;02;11;EventSent;874
14;02;12;EventSent;855
14;02;13;EventSent;861
14;02;14;EventSent;879
14;02;15;EventSent;873
14;02;16;EventSent;897
14;02;17;EventSent;884
14;02;18;EventSent;845
14;02;19;EventSent;856
14;02;20;EventSent;866
14;02;21;EventSent;857
14;02;22;EventSent;840
14;02;23;EventSent;852
14;02;24;EventSent;878
14;02;25;EventSent;873
14;02;26;EventSent;872
14;02;27;EventSent;863
14;02;28;EventSent;836
14;02;29;EventSent;880
14;02;30;EventSent;878
14;02;31;EventSent;883
14;02;32;EventSent;878
14;02;33;EventSent;860
14;02;34;EventSent;886
14;02;35;EventSent;882
14;02;36;EventSent;855
14;02;37;EventSent;885
14;02;38;EventSent;865
14;02;39;EventSent;874
14;02;40;EventSent;886
14;02;41;EventSent;867
14;02;42;EventSent;843
14;02;43;EventSent;859
14;02;44;EventSent;856
14;02;45;EventSent;886
14;02;46;EventSent;879
14;02;47;EventSent;873
14;02;48;EventSent;859
14;02;49;EventSent;872
14;02;50;EventSent;851
14;02;51;EventSent;866
14;02;52;EventSent;867
14;02;53;EventSent;838
14;02;54;EventSent;883
14;02;55;EventSent;865
14;02;56;EventSent;863
14;02;57;EventSent;853
14;02;58;EventSent;844
14;02;59;EventSent;873
14;03;00;EventSent;870
14;03;01;EventSent;878
14;03;02;EventSent;866
14;03;03;EventSent;844
14;03;04;EventSent;847
14;03;05;EventSent;872
14;03;06;EventSent;864
14;03;07;EventSent;860
14;03;08;EventSent;860
14;03;09;EventSent;849
14;03;10;EventSent;871
14;03;11;EventSent;872
14;03;12;EventSent;874
14;03;13;EventSent;851
14;03;14;EventSent;870
14;03;15;EventSent;853
14;03;16;EventSent;856
14;03;17;EventSent;873
14;03;18;EventSent;825
14;03;19;EventSent;877
14;03;20;EventSent;873
14;03;21;EventSent;861
14;03;22;EventSent;858
14;03;23;EventSent;869
14;03;24;EventSent;874
14;03;25;EventSent;864
14;03;26;EventSent;847
14;03;27;EventSent;863
14;03;28;EventSent;853
14;03;29;EventSent;870
14;03;30;EventSent;872
14;03;31;EventSent;869
14;03;32;EventSent;855
14;03;33;EventSent;834
14;03;34;EventSent;852
14;03;35;EventSent;861
14;03;36;EventSent;868
14;03;37;EventSent;857
14;03;38;EventSent;855
14;03;39;EventSent;860
14;03;40;EventSent;847
14;03;41;EventSent;875
14;03;42;EventSent;859
14;03;43;EventSent;841
14;03;44;EventSent;867
14;03;45;EventSent;870
14;03;46;EventSent;859
14;03;47;EventSent;878
14;03;48;EventSent;851
14;03;49;EventSent;874
14;03;50;EventSent;880
14;03;51;EventSent;866
14;03;52;EventSent;877
14;03;53;EventSent;836
14;03;54;EventSent;845
14;03;55;EventSent;864
14;03;56;EventSent;884
14;03;57;EventSent;864
14;03;58;EventSent;857
14;03;59;EventSent;865
14;04;00;EventSent;862
14;04;01;EventSent;869
14;04;02;EventSent;859
14;04;03;EventSent;836
14;04;04;EventSent;867
14;04;05;EventSent;864
14;04;06;EventSent;856
14;04;07;EventSent;858
14;04;08;EventSent;844
14;04;09;EventSent;869
14;04;10;EventSent;864
14;04;11;EventSent;878
14;04;12;EventSent;866
14;04;13;EventSent;876
14;04;14;EventSent;860
14;04;15;EventSent;865
14;04;16;EventSent;837
14;04;17;EventSent;858
14;04;18;EventSent;845
14;04;19;EventSent;856
14;04;20;EventSent;882
14;04;21;EventSent;872
14;04;22;EventSent;852
14;04;23;EventSent;864
14;04;24;EventSent;872
14;04;25;EventSent;877
14;04;26;EventSent;859
14;04;27;EventSent;879
14;04;28;EventSent;852
14;04;29;EventSent;862
14;04;30;EventSent;869
14;04;31;EventSent;847
14;04;32;EventSent;860
14;04;33;EventSent;850
14;04;34;EventSent;864
14;04;35;EventSent;851
14;04;36;EventSent;873
14;04;37;EventSent;861
14;04;38;EventSent;834
14;04;39;EventSent;851
14;04;40;EventSent;865
14;04;41;EventSent;865
14;04;42;EventSent;872
14;04;43;EventSent;858
14;04;44;EventSent;837
14;04;45;EventSent;870
14;04;46;EventSent;866
14;04;47;EventSent;853
14;04;48;EventSent;867
14;04;49;EventSent;849
14;04;50;EventSent;858
14;04;51;EventSent;846
14;04;52;EventSent;891
14;04;53;EventSent;861
14;04;54;EventSent;850
14;04;55;EventSent;864
14;04;56;EventSent;861
14;04;57;EventSent;858
14;04;58;EventSent;866
14;04;59;EventSent;859
14;05;00;EventSent;857
14;05;01;EventSent;873
14;05;02;EventSent;857
14;05;03;EventSent;794
14;05;04;EventSent;865
14;05;05;EventSent;853
14;05;06;EventSent;853
14;05;07;EventSent;871
14;05;08;EventSent;834
14;05;09;EventSent;861
14;05;10;EventSent;862
14;05;11;EventSent;871
14;05;12;EventSent;858
14;05;13;EventSent;865
14;05;14;EventSent;856
14;05;15;EventSent;865
14;05;16;EventSent;871
14;05;17;EventSent;868
14;05;18;EventSent;854
14;05;19;EventSent;874
14;05;20;EventSent;853
14;05;21;EventSent;865
14;05;22;EventSent;870
14;05;23;EventSent;843
14;05;24;EventSent;864
14;05;25;EventSent;863
14;05;26;EventSent;868
14;05;27;EventSent;856
14;05;28;EventSent;859
14;05;29;EventSent;861
14;05;30;EventSent;865
14;05;31;EventSent;870
14;05;32;EventSent;868
14;05;33;EventSent;854
14;05;34;EventSent;867
14;05;35;EventSent;859
14;05;36;EventSent;872
14;05;37;EventSent;841
14;05;38;EventSent;824
14;05;39;EventSent;868
14;05;40;EventSent;870
14;05;41;EventSent;875
14;05;42;EventSent;862
14;05;43;EventSent;851
14;05;44;EventSent;858
14;05;45;EventSent;863
14;05;46;EventSent;844
14;05;47;EventSent;841
14;05;48;EventSent;842
14;05;49;EventSent;862
14;05;50;EventSent;866
14;05;51;EventSent;857
14;05;52;EventSent;860
14;05;53;EventSent;858
14;05;54;EventSent;866
