hour;minute;second;event;total
11;52;30;AckSent;56
11;52;31;AckSent;208
11;52;32;AckSent;226
11;52;33;AckSent;211
11;52;34;AckSent;249
11;52;35;AckSent;199
11;52;36;AckSent;248
11;52;37;AckSent;208
11;52;38;AckSent;247
11;52;39;AckSent;225
11;52;40;AckSent;254
11;52;41;AckSent;220
11;52;42;AckSent;254
11;52;43;AckSent;215
11;52;44;AckSent;234
11;52;45;AckSent;236
11;52;46;AckSent;235
11;52;47;AckSent;256
11;52;48;AckSent;232
11;52;49;AckSent;223
11;52;50;AckSent;264
11;52;51;AckSent;241
11;52;52;AckSent;233
11;52;53;AckSent;242
11;52;54;AckSent;240
11;52;55;AckSent;234
11;52;56;AckSent;285
11;52;57;AckSent;257
11;52;58;AckSent;234
11;52;59;AckSent;293
11;53;00;AckSent;246
11;53;01;AckSent;239
11;53;02;AckSent;271
11;53;03;AckSent;234
11;53;04;AckSent;259
11;53;05;AckSent;287
11;53;06;AckSent;270
11;53;07;AckSent;245
11;53;08;AckSent;283
11;53;09;AckSent;297
11;53;10;AckSent;249
11;53;11;AckSent;250
11;53;12;AckSent;256
11;53;13;AckSent;230
11;53;14;AckSent;258
11;53;15;AckSent;261
11;53;16;AckSent;282
11;53;17;AckSent;288
11;53;18;AckSent;249
11;53;19;AckSent;255
11;53;20;AckSent;308
11;53;21;AckSent;248
11;53;22;AckSent;277
11;53;23;AckSent;268
11;53;24;AckSent;262
11;53;25;AckSent;289
11;53;26;AckSent;240
11;53;27;AckSent;278
11;53;28;AckSent;305
11;53;29;AckSent;270
11;53;30;AckSent;260
11;53;31;AckSent;280
11;53;32;AckSent;268
11;53;33;AckSent;268
11;53;34;AckSent;249
11;53;35;AckSent;249
11;53;36;AckSent;269
11;53;37;AckSent;274
11;53;38;AckSent;272
11;53;39;AckSent;295
11;53;40;AckSent;242
11;53;41;AckSent;252
11;53;42;AckSent;281
11;53;43;AckSent;266
11;53;44;AckSent;260
11;53;45;AckSent;262
11;53;46;AckSent;210
11;53;47;AckSent;254
11;53;48;AckSent;249
11;53;49;AckSent;252
11;53;50;AckSent;307
11;53;51;AckSent;227
11;53;52;AckSent;295
11;53;53;AckSent;279
11;53;54;AckSent;289
11;53;55;AckSent;299
11;53;56;AckSent;287
11;53;57;AckSent;272
11;53;58;AckSent;222
11;53;59;AckSent;262
11;54;00;AckSent;256
11;54;01;AckSent;235
11;54;02;AckSent;223
11;54;03;AckSent;265
11;54;04;AckSent;244
11;54;05;AckSent;277
11;54;06;AckSent;264
11;54;07;AckSent;270
11;54;08;AckSent;281
11;54;09;AckSent;265
11;54;10;AckSent;270
11;54;11;AckSent;279
11;54;12;AckSent;258
11;54;13;AckSent;262
11;54;14;AckSent;268
11;54;15;AckSent;301
11;54;16;AckSent;286
11;54;17;AckSent;297
11;54;18;AckSent;289
11;54;19;AckSent;253
11;54;20;AckSent;236
11;54;21;AckSent;269
11;54;22;AckSent;309
11;54;23;AckSent;287
11;54;24;AckSent;234
11;54;25;AckSent;227
11;54;26;AckSent;268
11;54;27;AckSent;274
11;54;28;AckSent;288
11;54;29;AckSent;237
11;54;30;AckSent;227
11;54;31;AckSent;195
11;54;32;AckSent;246
11;54;33;AckSent;262
11;54;34;AckSent;271
11;54;35;AckSent;273
11;54;36;AckSent;275
11;54;37;AckSent;286
11;54;38;AckSent;277
11;54;39;AckSent;251
11;54;40;AckSent;264
11;54;41;AckSent;220
11;54;42;AckSent;287
11;54;43;AckSent;260
11;54;44;AckSent;243
11;54;45;AckSent;290
11;54;46;AckSent;265
11;54;47;AckSent;282
11;54;48;AckSent;278
11;54;49;AckSent;261
11;54;50;AckSent;214
11;54;51;AckSent;269
11;54;52;AckSent;242
11;54;53;AckSent;224
11;54;54;AckSent;279
11;54;55;AckSent;301
11;54;56;AckSent;272
11;54;57;AckSent;247
11;54;58;AckSent;249
11;54;59;AckSent;296
11;55;00;AckSent;252
11;55;01;AckSent;240
11;55;02;AckSent;261
11;55;03;AckSent;214
11;55;04;AckSent;265
11;55;05;AckSent;262
11;55;06;AckSent;232
11;55;07;AckSent;261
11;55;08;AckSent;288
11;55;09;AckSent;221
11;55;10;AckSent;272
11;55;11;AckSent;263
11;55;12;AckSent;256
11;55;13;AckSent;270
11;55;14;AckSent;293
11;55;15;AckSent;264
11;55;16;AckSent;257
11;55;17;AckSent;245
11;55;18;AckSent;283
11;55;19;AckSent;273
11;55;20;AckSent;248
11;55;21;AckSent;258
11;55;22;AckSent;244
11;55;23;AckSent;257
11;55;24;AckSent;255
11;55;25;AckSent;272
11;55;26;AckSent;229
11;55;27;AckSent;261
11;55;28;AckSent;288
11;55;29;AckSent;261
11;55;30;AckSent;242
11;55;31;AckSent;240
11;55;32;AckSent;242
11;55;33;AckSent;282
11;55;34;AckSent;262
11;55;35;AckSent;269
11;55;36;AckSent;262
11;55;37;AckSent;267
11;55;38;AckSent;287
11;55;39;AckSent;317
11;55;40;AckSent;280
11;55;41;AckSent;268
11;55;42;AckSent;260
11;55;43;AckSent;226
11;55;44;AckSent;225
11;55;45;AckSent;274
11;55;46;AckSent;257
11;55;47;AckSent;294
11;55;48;AckSent;250
11;55;49;AckSent;306
11;55;50;AckSent;316
11;55;51;AckSent;246
11;55;52;AckSent;270
11;55;53;AckSent;282
11;55;54;AckSent;264
11;55;55;AckSent;267
11;55;56;AckSent;274
11;55;57;AckSent;279
11;55;58;AckSent;250
11;55;59;AckSent;241
11;56;00;AckSent;223
11;56;01;AckSent;229
11;56;02;AckSent;255
11;56;03;AckSent;278
11;56;04;AckSent;288
11;56;05;AckSent;280
11;56;06;AckSent;250
11;56;07;AckSent;241
11;56;08;AckSent;237
11;56;09;AckSent;240
11;56;10;AckSent;233
11;56;11;AckSent;215
11;56;12;AckSent;242
11;56;13;AckSent;273
11;56;14;AckSent;258
11;56;15;AckSent;286
11;56;16;AckSent;272
11;56;17;AckSent;257
11;56;18;AckSent;256
11;56;19;AckSent;266
11;56;20;AckSent;264
11;56;21;AckSent;271
11;56;22;AckSent;274
11;56;23;AckSent;300
11;56;24;AckSent;243
11;56;25;AckSent;238
11;56;26;AckSent;263
11;56;27;AckSent;259
