hour;minute;second;event;total
11;52;30;AckSent;85
11;52;31;AckSent;445
11;52;32;AckSent;407
11;52;33;AckSent;416
11;52;34;AckSent;470
11;52;35;AckSent;474
11;52;36;AckSent;439
11;52;37;AckSent;464
11;52;38;AckSent;439
11;52;39;AckSent;429
11;52;40;AckSent;413
11;52;41;AckSent;451
11;52;42;AckSent;480
11;52;43;AckSent;474
11;52;44;AckSent;469
11;52;45;AckSent;472
11;52;46;AckSent;503
11;52;47;AckSent;443
11;52;48;AckSent;496
11;52;49;AckSent;561
11;52;50;AckSent;498
11;52;51;AckSent;516
11;52;52;AckSent;532
11;52;53;AckSent;509
11;52;54;AckSent;476
11;52;55;AckSent;499
11;52;56;AckSent;550
11;52;57;AckSent;528
11;52;58;AckSent;548
11;52;59;AckSent;474
11;53;00;AckSent;523
11;53;01;AckSent;507
11;53;02;AckSent;492
11;53;03;AckSent;538
11;53;04;AckSent;517
11;53;05;AckSent;518
11;53;06;AckSent;497
11;53;07;AckSent;504
11;53;08;AckSent;512
11;53;09;AckSent;462
11;53;10;AckSent;499
11;53;11;AckSent;528
11;53;12;AckSent;496
11;53;13;AckSent;508
11;53;14;AckSent;503
11;53;15;AckSent;481
11;53;16;AckSent;476
11;53;17;AckSent;495
11;53;18;AckSent;453
11;53;19;AckSent;465
11;53;20;AckSent;503
11;53;21;AckSent;451
11;53;22;AckSent;541
11;53;23;AckSent;539
11;53;24;AckSent;521
11;53;25;AckSent;471
11;53;26;AckSent;508
11;53;27;AckSent;525
11;53;28;AckSent;477
11;53;29;AckSent;501
11;53;30;AckSent;493
11;53;31;AckSent;509
11;53;32;AckSent;495
11;53;33;AckSent;477
11;53;34;AckSent;532
11;53;35;AckSent;520
11;53;36;AckSent;435
11;53;37;AckSent;522
11;53;38;AckSent;531
11;53;39;AckSent;519
11;53;40;AckSent;554
11;53;41;AckSent;484
11;53;42;AckSent;460
11;53;43;AckSent;508
11;53;44;AckSent;497
11;53;45;AckSent;521
11;53;46;AckSent;558
11;53;47;AckSent;557
11;53;48;AckSent;554
11;53;49;AckSent;536
11;53;50;AckSent;475
11;53;51;AckSent;509
11;53;52;AckSent;504
11;53;53;AckSent;531
11;53;54;AckSent;504
11;53;55;AckSent;556
11;53;56;AckSent;530
11;53;57;AckSent;515
11;53;58;AckSent;491
