hour;minute;second;event;total
14;46;03;AckSent;551
14;46;03;EventSent;1625
14;46;04;AckSent;881
14;46;04;EventSent;2423
14;46;05;AckSent;848
14;46;05;EventSent;2388
14;46;06;AckSent;1589
14;46;06;EventSent;2701
14;46;07;AckSent;2594
14;46;07;EventSent;2733
14;46;08;AckSent;2487
14;46;08;EventSent;1648
14;46;09;AckSent;2949
14;46;09;EventSent;2166
14;46;10;AckSent;4639
14;46;10;EventSent;2736
14;46;11;AckSent;2955
14;46;11;EventSent;2728
14;46;12;AckSent;3878
14;46;12;EventSent;2760
14;46;13;AckSent;3163
14;46;13;EventSent;2806
14;46;14;AckSent;2383
14;46;14;EventSent;2601
14;46;15;AckSent;5702
14;46;15;EventSent;2011
14;46;16;AckSent;6009
14;46;16;EventSent;2803
14;46;17;AckSent;4209
14;46;17;EventSent;2803
14;46;18;AckSent;4518
14;46;18;EventSent;2689
14;46;19;AckSent;5563
14;46;19;EventSent;2770
14;46;20;AckSent;3565
14;46;20;EventSent;2788
14;46;21;AckSent;5116
14;46;21;EventSent;2759
14;46;22;AckSent;7321
14;46;22;EventSent;2804
14;46;23;AckSent;4809
14;46;23;EventSent;2775
14;46;24;AckSent;3935
14;46;24;EventSent;2790
14;46;25;AckSent;4044
14;46;25;EventSent;2803
14;46;26;AckSent;3819
14;46;26;EventSent;2781
14;46;27;AckSent;2956
14;46;27;EventSent;2788
14;46;28;AckSent;5409
14;46;28;EventSent;2309
14;46;29;AckSent;7485
14;46;29;EventSent;2801
14;46;30;AckSent;4554
14;46;30;EventSent;2742
14;46;31;AckSent;3881
14;46;31;EventSent;2730
14;46;32;AckSent;5199
14;46;32;EventSent;2751
14;46;33;AckSent;4368
14;46;33;EventSent;2755
14;46;34;AckSent;3864
14;46;34;EventSent;2697
14;46;35;AckSent;3967
14;46;35;EventSent;2815
14;46;36;AckSent;3608
14;46;36;EventSent;2472
14;46;37;AckSent;3411
14;46;37;EventSent;2639
14;46;38;AckSent;5875
14;46;38;EventSent;2778
14;46;39;AckSent;5735
14;46;39;EventSent;2761
14;46;40;AckSent;3862
14;46;40;EventSent;2819
14;46;41;AckSent;4564
14;46;41;EventSent;2709
14;46;42;AckSent;4617
14;46;42;EventSent;2793
14;46;43;AckSent;4136
14;46;43;EventSent;2760
14;46;44;AckSent;4100
14;46;44;EventSent;2745
14;46;45;AckSent;3348
14;46;45;EventSent;2772
14;46;46;AckSent;3495
14;46;46;EventSent;2606
14;46;47;AckSent;3154
14;46;47;EventSent;2805
14;46;48;AckSent;5765
14;46;48;EventSent;2679
14;46;49;AckSent;4000
14;46;49;EventSent;2451
14;46;50;AckSent;5972
14;46;50;EventSent;2802
14;46;51;AckSent;4105
14;46;51;EventSent;2754
14;46;52;AckSent;3937
14;46;52;EventSent;2779
14;46;53;AckSent;3070
14;46;53;EventSent;2769
14;46;54;AckSent;3571
14;46;54;EventSent;2763
14;46;55;AckSent;4000
14;46;55;EventSent;2800
14;46;56;AckSent;3386
14;46;56;EventSent;2807
14;46;57;AckSent;6234
14;46;57;EventSent;2780
14;46;58;AckSent;3516
14;46;58;EventSent;2727
14;46;59;AckSent;3282
14;46;59;EventSent;2561
14;47;00;AckSent;3859
14;47;00;EventSent;2813
14;47;01;AckSent;3931
14;47;01;EventSent;2745
14;47;02;AckSent;5335
14;47;02;EventSent;2773
14;47;03;AckSent;4650
14;47;03;EventSent;2825
14;47;04;AckSent;3886
14;47;04;EventSent;2734
