hour;minute;second;event;total
14;46;03;EventSent;102
14;46;04;EventSent;2
14;46;03;EventSent;1
14;46;04;EventSent;1283
14;46;05;EventSent;1903
14;46;06;EventSent;2077
14;46;07;EventSent;2211
14;46;08;EventSent;2300
14;46;09;EventSent;2568
14;46;10;EventSent;2622
14;46;11;EventSent;2663
14;46;12;EventSent;2633
14;46;13;EventSent;2540
14;46;14;EventSent;2520
14;46;15;EventSent;2671
14;46;16;EventSent;2636
14;46;17;EventSent;2643
14;46;18;EventSent;2558
14;46;19;EventSent;2646
14;46;20;EventSent;2640
14;46;21;EventSent;2578
14;46;22;EventSent;2616
14;46;23;EventSent;2605
14;46;24;EventSent;2641
14;46;25;EventSent;2646
14;46;26;EventSent;2637
14;46;27;EventSent;2627
14;46;28;EventSent;2590
14;46;29;EventSent;2601
14;46;30;EventSent;2549
14;46;31;EventSent;2594
14;46;32;EventSent;2623
14;46;33;EventSent;2497
14;46;34;EventSent;2687
14;46;35;EventSent;2634
14;46;36;EventSent;2617
14;46;37;EventSent;2576
14;46;38;EventSent;2596
14;46;39;EventSent;2669
14;46;40;EventSent;2629
14;46;41;EventSent;2633
14;46;42;EventSent;2612
14;46;43;EventSent;2640
14;46;44;EventSent;2635
14;46;45;EventSent;2628
14;46;46;EventSent;2618
14;46;47;EventSent;2645
14;46;48;EventSent;2658
14;46;49;EventSent;2652
14;46;50;EventSent;2634
14;46;51;EventSent;2613
14;46;52;EventSent;2602
14;46;53;EventSent;2650
14;46;54;EventSent;2671
14;46;55;EventSent;2583
14;46;56;EventSent;2625
14;46;57;EventSent;2626
14;46;58;EventSent;2597
14;46;59;EventSent;2653
14;47;00;EventSent;2651
14;47;01;EventSent;2
14;47;00;EventSent;1
14;47;01;EventSent;2570
14;47;02;EventSent;2643
14;47;03;EventSent;2556
14;47;04;EventSent;2622
14;47;05;EventSent;2653
14;47;06;EventSent;2618
14;47;07;EventSent;2561
14;47;08;EventSent;2624
14;47;09;EventSent;2430
14;47;10;EventSent;2681
14;47;11;EventSent;2627
14;47;12;EventSent;2517
14;47;13;EventSent;2649
14;47;14;EventSent;2658
14;47;15;EventSent;2610
14;47;16;EventSent;2607
14;47;17;EventSent;2638
14;47;18;EventSent;2638
14;47;19;EventSent;2646
14;47;20;EventSent;2652
14;47;21;EventSent;2630
14;47;22;EventSent;2556
14;47;23;EventSent;2598
14;47;24;EventSent;2650
14;47;25;EventSent;2640
14;47;26;EventSent;2653
14;47;27;EventSent;2655
14;47;28;EventSent;2680
14;47;29;EventSent;2661
14;47;30;EventSent;2633
14;47;31;EventSent;2648
14;47;32;EventSent;2653
14;47;33;EventSent;2626
14;47;34;EventSent;2628
14;47;35;EventSent;2618
14;47;36;EventSent;2628
14;47;37;EventSent;2622
14;47;38;EventSent;2602
14;47;39;EventSent;2638
14;47;40;EventSent;2627
14;47;41;EventSent;2643
14;47;42;EventSent;2643
14;47;43;EventSent;2629
14;47;44;EventSent;2634
14;47;45;EventSent;2667
14;47;46;EventSent;2657
14;47;47;EventSent;2532
14;47;48;EventSent;2604
14;47;49;EventSent;2630
14;47;50;EventSent;2661
14;47;51;EventSent;2651
14;47;52;EventSent;2606
14;47;53;EventSent;2598
14;47;54;EventSent;2635
14;47;55;EventSent;2628
14;47;56;EventSent;2664
14;47;57;EventSent;2600
14;47;58;EventSent;2625
14;47;59;EventSent;2652
14;48;00;EventSent;2627
14;48;01;EventSent;2638
14;48;02;EventSent;2629
14;48;03;EventSent;2621
14;48;04;EventSent;2592
14;48;05;EventSent;2637
14;48;06;EventSent;2662
14;48;07;EventSent;2590
14;48;08;EventSent;2621
14;48;09;EventSent;2537
14;48;10;EventSent;2579
14;48;11;EventSent;2655
14;48;12;EventSent;2621
14;48;13;EventSent;2632
14;48;14;EventSent;2635
14;48;15;EventSent;2628
14;48;16;EventSent;2633
14;48;17;EventSent;2559
14;48;18;EventSent;2563
14;48;19;EventSent;2618
14;48;20;EventSent;2639
14;48;21;EventSent;2644
14;48;22;EventSent;2568
14;48;23;EventSent;2649
14;48;24;EventSent;2661
14;48;25;EventSent;2626
14;48;26;EventSent;2643
14;48;27;EventSent;2625
14;48;28;EventSent;2619
14;48;29;EventSent;2605
14;48;30;EventSent;2610
14;48;31;EventSent;2626
14;48;32;EventSent;2638
14;48;33;EventSent;2633
14;48;34;EventSent;2625
14;48;35;EventSent;2604
14;48;36;EventSent;2641
14;48;37;EventSent;2626
14;48;38;EventSent;2606
14;48;39;EventSent;2648
14;48;40;EventSent;2632
14;48;41;EventSent;2626
14;48;42;EventSent;2611
14;48;43;EventSent;2589
14;48;44;EventSent;2621
14;48;45;EventSent;2653
14;48;46;EventSent;2632
14;48;47;EventSent;2548
14;48;48;EventSent;2612
14;48;49;EventSent;2629
14;48;50;EventSent;2650
14;48;51;EventSent;2606
14;48;52;EventSent;2562
14;48;53;EventSent;2457
14;48;54;EventSent;2642
14;48;55;EventSent;2618
14;48;56;EventSent;2643
14;48;57;EventSent;2579
14;48;58;EventSent;2601
14;48;59;EventSent;2616
14;49;00;EventSent;2634
14;49;01;EventSent;2642
14;49;02;EventSent;2633
14;49;03;EventSent;2621
14;49;04;EventSent;2608
14;49;05;EventSent;2668
14;49;06;EventSent;2650
14;49;07;EventSent;2625
14;49;08;EventSent;2588
14;49;09;EventSent;2660
14;49;10;EventSent;2680
14;49;11;EventSent;2639
14;49;12;EventSent;2609
14;49;13;EventSent;2607
14;49;14;EventSent;2646
14;49;15;EventSent;2643
14;49;16;EventSent;2608
14;49;17;EventSent;2601
14;49;18;EventSent;2583
14;49;19;EventSent;2631
14;49;20;EventSent;2623
14;49;21;EventSent;2629
14;49;22;EventSent;2590
14;49;23;EventSent;2600
14;49;24;EventSent;2615
14;49;25;EventSent;2635
14;49;26;EventSent;2624
14;49;27;EventSent;2632
14;49;28;EventSent;2597
14;49;29;EventSent;2625
14;49;30;EventSent;2625
14;49;31;EventSent;2620
14;49;32;EventSent;2609
14;49;33;EventSent;2631
14;49;34;EventSent;2650
14;49;35;EventSent;2618
14;49;36;EventSent;2599
14;49;37;EventSent;2645
14;49;38;EventSent;2571
14;49;39;EventSent;2634
14;49;40;EventSent;2605
14;49;41;EventSent;2627
14;49;42;EventSent;2636
14;49;43;EventSent;2613
14;49;44;EventSent;2633
14;49;45;EventSent;2607
14;49;46;EventSent;2613
14;49;47;EventSent;2616
14;49;48;EventSent;2614
14;49;49;EventSent;2630
14;49;50;EventSent;2642
14;49;51;EventSent;2509
14;49;52;EventSent;2628
14;49;53;EventSent;2599
14;49;54;EventSent;2630
14;49;55;EventSent;2582
14;49;56;EventSent;2618
14;49;57;EventSent;2565
14;49;58;EventSent;2603
14;49;59;EventSent;2600
14;50;00;EventSent;2601
14;50;01;EventSent;2603
14;50;02;EventSent;2635
14;50;03;EventSent;2622
14;50;04;EventSent;2626
14;50;05;EventSent;2615
14;50;06;EventSent;2662
14;50;07;EventSent;2627
14;50;08;EventSent;2622
14;50;09;EventSent;2614
14;50;10;EventSent;2605
14;50;11;EventSent;2645
