hour;minute;second;event;total
14;46;03;AckSent;58
14;46;03;EventSent;464
14;46;04;EventSent;1
14;46;03;AckSent;1
14;46;04;AckSent;179
14;46;04;EventSent;1080
14;46;05;AckSent;437
14;46;05;EventSent;1814
14;46;06;AckSent;493
14;46;06;EventSent;1949
14;46;07;AckSent;597
14;46;07;EventSent;2029
14;46;08;AckSent;849
14;46;08;EventSent;2118
14;46;09;AckSent;632
14;46;09;EventSent;271
14;46;10;AckSent;1966
14;46;10;EventSent;1544
14;46;11;AckSent;2387
14;46;11;EventSent;2248
14;46;12;AckSent;2482
14;46;12;EventSent;2207
14;46;13;AckSent;2727
14;46;13;EventSent;2021
14;46;14;AckSent;2765
14;46;14;EventSent;944
14;46;15;AckSent;3836
14;46;15;EventSent;2272
14;46;16;AckSent;1954
14;46;16;EventSent;2291
14;46;17;AckSent;2606
14;46;17;EventSent;1639
14;46;18;AckSent;4539
14;46;18;EventSent;1321
14;46;19;AckSent;4060
14;46;19;EventSent;2206
14;46;20;AckSent;3084
14;46;20;EventSent;2291
14;46;21;AckSent;3599
14;46;21;EventSent;2282
14;46;22;AckSent;4476
14;46;22;EventSent;2258
14;46;23;AckSent;2896
14;46;23;EventSent;2167
14;46;24;AckSent;5243
14;46;24;EventSent;2233
14;46;25;AckSent;5495
14;46;25;EventSent;2312
14;46;26;AckSent;3770
14;46;26;EventSent;2304
14;46;27;AckSent;4395
14;46;27;EventSent;2224
14;46;28;AckSent;5395
14;46;28;EventSent;2278
14;46;29;AckSent;4649
14;46;29;EventSent;2164
14;46;30;AckSent;4086
14;46;30;EventSent;2189
14;46;31;AckSent;4943
14;46;31;EventSent;2186
14;46;32;AckSent;5125
14;46;32;EventSent;2265
14;46;33;AckSent;5286
14;46;33;EventSent;2254
14;46;34;AckSent;5071
14;46;34;EventSent;2154
14;46;35;AckSent;4227
14;46;35;EventSent;2278
14;46;36;AckSent;5647
14;46;36;EventSent;2287
14;46;37;AckSent;5521
14;46;37;EventSent;2299
14;46;38;AckSent;5730
14;46;38;EventSent;2279
14;46;39;AckSent;4991
14;46;39;EventSent;2259
14;46;40;AckSent;3395
14;46;40;EventSent;2305
14;46;41;AckSent;2813
14;46;41;EventSent;2301
14;46;42;AckSent;4290
14;46;42;EventSent;2019
14;46;43;AckSent;6068
14;46;43;EventSent;2297
14;46;44;AckSent;4567
14;46;44;EventSent;2277
14;46;45;AckSent;3492
14;46;45;EventSent;2290
14;46;46;AckSent;2577
14;46;46;EventSent;2174
14;46;47;AckSent;3007
14;46;47;EventSent;1589
14;46;48;AckSent;5429
14;46;48;EventSent;2281
14;46;49;AckSent;3326
14;46;49;EventSent;2095
14;46;50;AckSent;6010
14;46;50;EventSent;2034
14;46;51;AckSent;4783
14;46;51;EventSent;2245
14;46;52;AckSent;4398
14;46;52;EventSent;2196
14;46;53;AckSent;3239
14;46;53;EventSent;2251
14;46;54;AckSent;4871
14;46;54;EventSent;1962
14;46;55;AckSent;7
14;46;55;EventSent;2
14;46;54;EventSent;1
14;46;55;AckSent;1
14;46;54;EventSent;2
14;46;55;AckSent;3832
14;46;55;EventSent;2140
14;46;56;AckSent;3130
14;46;56;EventSent;2156
14;46;57;AckSent;5535
14;46;57;EventSent;2241
14;46;58;AckSent;5318
14;46;58;EventSent;2293
14;46;59;AckSent;3986
14;46;59;EventSent;2285
14;47;00;AckSent;2941
14;47;00;EventSent;2288
14;47;01;AckSent;4407
14;47;01;EventSent;1389
14;47;02;AckSent;5265
14;47;02;EventSent;2296
14;47;03;AckSent;4884
14;47;03;EventSent;2290
14;47;04;AckSent;3694
14;47;04;EventSent;2203
14;47;05;AckSent;2991
14;47;05;EventSent;2111
14;47;06;AckSent;3423
14;47;06;EventSent;1810
14;47;07;AckSent;5125
14;47;07;EventSent;2290
14;47;08;AckSent;6085
14;47;08;EventSent;2310
14;47;09;AckSent;6281
14;47;09;EventSent;2297
14;47;10;AckSent;5466
14;47;10;EventSent;2273
14;47;11;AckSent;5446
14;47;11;EventSent;2282
14;47;12;AckSent;5229
14;47;12;EventSent;2285
14;47;13;AckSent;4980
14;47;13;EventSent;2260
14;47;14;AckSent;4709
14;47;14;EventSent;2255
14;47;15;AckSent;2706
14;47;15;EventSent;2290
14;47;16;AckSent;5115
14;47;16;EventSent;2265
14;47;17;AckSent;3711
14;47;17;EventSent;2249
14;47;18;AckSent;3941
14;47;18;EventSent;2280
14;47;19;AckSent;3175
14;47;19;EventSent;2245
14;47;20;AckSent;3166
14;47;20;EventSent;1623
14;47;21;AckSent;3212
14;47;21;EventSent;1947
14;47;22;AckSent;3386
14;47;22;EventSent;2253
14;47;23;AckSent;3330
14;47;23;EventSent;1386
14;47;24;AckSent;4046
14;47;24;EventSent;1855
14;47;25;AckSent;3407
14;47;25;EventSent;2296
14;47;26;AckSent;3371
14;47;26;EventSent;1424
14;47;27;AckSent;4375
14;47;27;EventSent;1897
14;47;28;AckSent;3830
14;47;28;EventSent;2266
14;47;29;AckSent;3354
14;47;29;EventSent;2216
14;47;30;AckSent;5624
14;47;30;EventSent;2222
14;47;31;AckSent;4754
14;47;31;EventSent;2223
14;47;32;AckSent;3342
14;47;32;EventSent;2227
14;47;33;AckSent;3268
14;47;33;EventSent;2248
14;47;34;AckSent;3420
14;47;34;EventSent;1581
14;47;35;AckSent;3833
14;47;35;EventSent;1734
14;47;36;AckSent;3469
14;47;36;EventSent;2234
14;47;37;AckSent;3413
14;47;37;EventSent;2263
14;47;38;AckSent;4413
14;47;38;EventSent;2232
14;47;39;AckSent;3958
14;47;39;EventSent;2125
14;47;40;AckSent;4211
14;47;40;EventSent;2220
14;47;41;AckSent;4715
14;47;41;EventSent;2241
14;47;42;AckSent;5188
14;47;42;EventSent;2221
14;47;43;AckSent;3251
14;47;43;EventSent;2240
14;47;44;AckSent;2540
14;47;44;EventSent;2193
14;47;45;AckSent;5878
14;47;45;EventSent;2300
14;47;46;AckSent;3710
14;47;46;EventSent;2260
14;47;47;AckSent;3450
14;47;47;EventSent;2243
14;47;48;AckSent;3692
14;47;48;EventSent;2257
14;47;49;AckSent;4422
14;47;49;EventSent;2144
14;47;50;AckSent;3517
14;47;50;EventSent;2251
14;47;51;AckSent;3054
14;47;51;EventSent;2230
14;47;52;AckSent;2993
14;47;52;EventSent;2239
14;47;53;AckSent;5388
14;47;53;EventSent;2278
14;47;54;AckSent;4751
14;47;54;EventSent;2236
14;47;55;AckSent;3509
14;47;55;EventSent;2221
14;47;56;AckSent;3314
14;47;56;EventSent;2222
14;47;57;AckSent;3432
14;47;57;EventSent;2282
14;47;58;AckSent;3471
14;47;58;EventSent;2277
14;47;59;AckSent;2713
14;47;59;EventSent;2225
14;48;00;AckSent;2103
14;48;00;EventSent;2270
14;48;01;AckSent;4691
14;48;01;EventSent;2281
14;48;02;AckSent;3495
14;48;02;EventSent;2007
14;48;03;AckSent;3937
14;48;03;EventSent;2278
14;48;04;AckSent;4944
14;48;04;EventSent;2224
14;48;05;AckSent;3861
14;48;05;EventSent;2283
14;48;06;AckSent;3272
14;48;06;EventSent;2197
14;48;07;AckSent;3179
14;48;07;EventSent;2269
14;48;08;AckSent;4459
14;48;08;EventSent;2262
14;48;09;AckSent;4762
14;48;09;EventSent;2185
14;48;10;AckSent;5334
