hour;minute;second;event;total
15;31;17;AckSent;55
15;31;17;EventSent;1005
15;31;18;EventSent;2
15;31;17;AckSent;1
15;31;17;EventSent;1
15;31;18;EventSent;1
15;31;17;EventSent;1
15;31;18;EventSent;1
15;31;17;EventSent;1
15;31;18;AckSent;218
15;31;18;EventSent;1989
15;31;19;AckSent;3
15;31;19;EventSent;2
15;31;18;EventSent;10
15;31;19;AckSent;126
15;31;19;EventSent;2259
15;31;20;AckSent;90
15;31;20;EventSent;2029
15;31;21;EventSent;6
15;31;20;EventSent;1
15;31;21;EventSent;12
15;31;20;EventSent;1
15;31;21;AckSent;73
15;31;21;EventSent;2118
15;31;22;EventSent;2
15;31;21;EventSent;4
15;31;22;AckSent;110
15;31;22;EventSent;3035
15;31;23;EventSent;1
15;31;22;EventSent;1
15;31;23;AckSent;172
15;31;23;EventSent;991
15;31;24;AckSent;302
15;31;25;AckSent;192
15;31;26;AckSent;352
15;31;27;AckSent;561
15;31;28;AckSent;379
15;31;29;AckSent;674
15;31;30;AckSent;1074
15;31;30;EventSent;3162
15;31;31;AckSent;1160
15;31;31;EventSent;4240
15;31;32;AckSent;1021
15;31;32;EventSent;4592
15;31;33;AckSent;1749
15;31;34;AckSent;894
15;31;34;EventSent;3740
15;31;35;AckSent;879
15;31;35;EventSent;4457
15;31;36;AckSent;1257
15;31;36;EventSent;3109
15;31;37;AckSent;1721
15;31;38;AckSent;2827
15;31;38;EventSent;2951
15;31;39;AckSent;2667
15;31;39;EventSent;4858
15;31;40;AckSent;2165
15;31;40;EventSent;4180
15;31;41;AckSent;3972
15;31;41;EventSent;1376
15;31;42;AckSent;2345
15;31;42;EventSent;1070
15;31;43;AckSent;2541
15;31;43;EventSent;449
15;31;44;AckSent;2528
15;31;44;EventSent;4567
15;31;45;AckSent;2244
15;31;45;EventSent;5005
15;31;46;AckSent;2047
15;31;46;EventSent;3287
15;31;47;AckSent;3666
15;31;47;EventSent;519
15;31;48;AckSent;3394
15;31;48;EventSent;1358
15;31;49;AckSent;2587
15;31;49;EventSent;4788
15;31;50;AckSent;2336
15;31;50;EventSent;4911
15;31;51;AckSent;2069
15;31;51;EventSent;1654
15;31;52;AckSent;3215
15;31;53;AckSent;3558
15;31;53;EventSent;1499
15;31;54;AckSent;2526
15;31;54;EventSent;4691
15;31;55;AckSent;3967
15;31;55;EventSent;5168
15;31;56;AckSent;2899
15;31;56;EventSent;1553
15;31;57;AckSent;3468
15;31;57;EventSent;2365
15;31;58;AckSent;2277
15;31;58;EventSent;4976
15;31;59;EventSent;2
15;31;58;AckSent;1
15;31;59;AckSent;4526
15;31;59;EventSent;4866
15;32;00;AckSent;4846
15;32;00;EventSent;1806
15;32;01;AckSent;3345
15;32;01;EventSent;4956
15;32;02;AckSent;2740
15;32;02;EventSent;4997
15;32;03;AckSent;2836
15;32;03;EventSent;2242
15;32;04;AckSent;3263
15;32;05;AckSent;3258
15;32;05;EventSent;4209
15;32;06;AckSent;2713
15;32;06;EventSent;4848
15;32;07;AckSent;5548
15;32;07;EventSent;3928
15;32;08;AckSent;3908
15;32;08;EventSent;3679
15;32;09;AckSent;3945
15;32;09;EventSent;5049
15;32;10;AckSent;4142
15;32;10;EventSent;4480
15;32;11;AckSent;4039
15;32;11;EventSent;2646
15;32;12;AckSent;3580
15;32;12;EventSent;4921
15;32;13;AckSent;4906
15;32;13;EventSent;4756
15;32;14;AckSent;3853
15;32;14;EventSent;2779
15;32;15;AckSent;2304
15;32;15;EventSent;5040
15;32;16;AckSent;1887
15;32;16;EventSent;4753
15;32;17;AckSent;1835
15;32;17;EventSent;1674
15;32;18;AckSent;2479
15;32;19;AckSent;2592
15;32;20;AckSent;3494
15;32;20;EventSent;4010
15;32;21;AckSent;3594
15;32;21;EventSent;4898
15;32;22;AckSent;2387
15;32;22;EventSent;3709
15;32;23;AckSent;3015
15;32;24;AckSent;2401
15;32;24;EventSent;3115
15;32;25;AckSent;2507
15;32;25;EventSent;4981
15;32;26;AckSent;2912
15;32;26;EventSent;3957
15;32;27;AckSent;2846
15;32;27;EventSent;285
15;32;28;AckSent;3603
15;32;28;EventSent;776
15;32;29;AckSent;2153
15;32;29;EventSent;4710
15;32;30;AckSent;2738
15;32;30;EventSent;4990
15;32;31;AckSent;3009
15;32;31;EventSent;2527
15;32;32;AckSent;3978
15;32;33;AckSent;2137
15;32;33;EventSent;3440
15;32;34;AckSent;2383
15;32;34;EventSent;4912
15;32;35;AckSent;2349
15;32;35;EventSent;3877
15;32;36;AckSent;2606
15;32;36;EventSent;443
15;32;37;AckSent;3746
15;32;37;EventSent;55
15;32;38;AckSent;4155
15;32;38;EventSent;4968
15;32;39;AckSent;4642
15;32;39;EventSent;5055
15;32;40;AckSent;2872
15;32;40;EventSent;2532
15;32;41;AckSent;2592
15;32;41;EventSent;3527
15;32;42;AckSent;3130
15;32;42;EventSent;4884
15;32;43;AckSent;2870
15;32;43;EventSent;4128
15;32;44;AckSent;3591
15;32;44;EventSent;312
15;32;45;AckSent;2902
15;32;45;EventSent;3358
15;32;46;AckSent;3417
15;32;46;EventSent;4529
15;32;47;AckSent;3008
15;32;47;EventSent;4572
15;32;48;AckSent;5289
15;32;48;EventSent;1428
15;32;49;AckSent;2517
15;32;49;EventSent;4771
15;32;50;AckSent;2608
15;32;50;EventSent;5056
15;32;51;AckSent;2564
15;32;51;EventSent;1995
15;32;52;AckSent;2437
15;32;53;AckSent;2058
15;32;54;AckSent;2151
15;32;54;EventSent;3276
15;32;55;AckSent;3331
15;32;55;EventSent;4990
15;32;56;AckSent;2640
15;32;56;EventSent;4649
15;32;57;AckSent;3546
15;32;57;EventSent;246
15;32;58;AckSent;3000
15;32;58;EventSent;2899
15;32;59;AckSent;2197
15;32;59;EventSent;4800
15;33;00;AckSent;3141
15;33;00;EventSent;4042
15;33;01;AckSent;2740
15;33;01;EventSent;336
15;33;02;AckSent;3523
15;33;02;EventSent;494
15;33;03;AckSent;3042
15;33;03;EventSent;4963
15;33;04;AckSent;3752
15;33;04;EventSent;4919
15;33;05;AckSent;3864
15;33;05;EventSent;2019
15;33;06;AckSent;3503
15;33;06;EventSent;3146
15;33;07;AckSent;2310
15;33;07;EventSent;4826
15;33;08;AckSent;2973
15;33;08;EventSent;4650
15;33;09;AckSent;3717
15;33;09;EventSent;539
15;33;10;AckSent;3140
15;33;10;EventSent;1479
15;33;11;AckSent;3186
15;33;11;EventSent;4864
15;33;12;AckSent;4786
15;33;12;EventSent;5039
15;33;13;AckSent;4645
15;33;13;EventSent;4136
15;33;14;AckSent;2843
15;33;14;EventSent;4808
15;33;15;AckSent;3145
15;33;15;EventSent;4924
15;33;16;AckSent;3188
15;33;16;EventSent;2659
15;33;17;AckSent;3036
15;33;18;AckSent;2752
15;33;18;EventSent;950
15;33;19;AckSent;6
15;33;19;EventSent;5
15;33;18;EventSent;1
15;33;19;AckSent;3632
15;33;19;EventSent;4939
15;33;20;AckSent;3238
15;33;20;EventSent;4778
15;33;21;AckSent;5094
15;33;21;EventSent;1046
15;33;22;AckSent;2928
15;33;22;EventSent;4951
15;33;23;AckSent;2461
15;33;23;EventSent;4810
15;33;24;AckSent;2498
15;33;24;EventSent;2624
15;33;25;AckSent;3020
15;33;25;EventSent;1408
15;33;26;AckSent;2979
15;33;26;EventSent;2929
15;33;27;AckSent;2945
15;33;27;EventSent;4976
15;33;28;AckSent;3106
15;33;28;EventSent;5121
15;33;29;AckSent;3233
15;33;29;EventSent;2942
15;33;30;AckSent;3300
15;33;30;EventSent;1493
15;33;31;EventSent;1
15;33;30;EventSent;1
15;33;31;AckSent;2227
15;33;31;EventSent;4684
15;33;32;AckSent;2757
15;33;32;EventSent;4864
15;33;33;AckSent;3740
15;33;33;EventSent;2850
15;33;34;AckSent;4791
15;33;34;EventSent;1153
15;33;35;AckSent;1907
15;33;35;EventSent;4951
15;33;36;AckSent;3024
15;33;36;EventSent;4760
15;33;37;AckSent;2737
15;33;37;EventSent;4627
15;33;38;AckSent;2403
15;33;38;EventSent;3110
15;33;39;AckSent;3504
15;33;40;AckSent;3239
15;33;40;EventSent;546
15;33;41;AckSent;3472
15;33;41;EventSent;4984
15;33;42;AckSent;2938
15;33;42;EventSent;5000
15;33;43;AckSent;3078
15;33;43;EventSent;1637
15;33;44;AckSent;1807
15;33;45;AckSent;2240
15;33;45;EventSent;2050
15;33;46;AckSent;3198
15;33;46;EventSent;4884
15;33;47;AckSent;2513
15;33;47;EventSent;4448
15;33;48;AckSent;2052
15;33;48;EventSent;4123
15;33;49;AckSent;1329
15;33;49;EventSent;4449
15;33;50;AckSent;1472
15;33;50;EventSent;1734
15;33;51;AckSent;2136
15;33;51;EventSent;2765
15;33;52;AckSent;2853
15;33;52;EventSent;4491
15;33;53;AckSent;2236
15;33;53;EventSent;4069
15;33;54;AckSent;3246
15;33;54;EventSent;4732
15;33;55;AckSent;4083
15;33;55;EventSent;4556
15;33;56;AckSent;4099
15;33;56;EventSent;3908
15;33;57;AckSent;2362
15;33;57;EventSent;4892
15;33;58;AckSent;2543
15;33;58;EventSent;4513
15;33;59;AckSent;2798
15;33;59;EventSent;3801
15;34;00;AckSent;2951
15;34;00;EventSent;4671
15;34;01;AckSent;4926
15;34;01;EventSent;3363
15;34;02;AckSent;2991
15;34;02;EventSent;4980
15;34;03;AckSent;2873
15;34;03;EventSent;4903
15;34;04;AckSent;3398
15;34;04;EventSent;3145
15;34;05;AckSent;3395
15;34;05;EventSent;3250
15;34;06;AckSent;3131
15;34;06;EventSent;1724
15;34;07;AckSent;2119
15;34;07;EventSent;4215
15;34;08;AckSent;1611
15;34;08;EventSent;4957
15;34;09;AckSent;2734
15;34;09;EventSent;3034
15;34;10;AckSent;5085
15;34;10;EventSent;4998
15;34;11;AckSent;4177
15;34;11;EventSent;4729
15;34;12;AckSent;5368
15;34;12;EventSent;3411
15;34;13;AckSent;2675
15;34;13;EventSent;4571
15;34;14;AckSent;1717
15;34;14;EventSent;4938
15;34;15;AckSent;1773
15;34;15;EventSent;2479
15;34;16;AckSent;2166
15;34;17;AckSent;2449
15;34;17;EventSent;4077
15;34;18;AckSent;2945
15;34;18;EventSent;4708
15;34;19;AckSent;2721
15;34;19;EventSent;4792
15;34;20;AckSent;2417
15;34;20;EventSent;4901
15;34;21;AckSent;1896
15;34;21;EventSent;3241
15;34;22;AckSent;3326
15;34;22;EventSent;35
