hour;minute;second;event;total
15;31;17;EventSent;219
15;31;18;AckSent;141
15;31;18;EventSent;1913
15;31;19;AckSent;3
15;31;19;EventSent;1
15;31;18;EventSent;7
15;31;19;EventSent;32
15;31;18;EventSent;3
15;31;19;AckSent;118
15;31;19;EventSent;1637
15;31;20;EventSent;5
15;31;19;EventSent;4
15;31;20;AckSent;1
15;31;19;EventSent;1
15;31;20;AckSent;149
15;31;20;EventSent;2571
15;31;21;AckSent;3
15;31;21;EventSent;2
15;31;20;EventSent;1
15;31;21;AckSent;94
15;31;21;EventSent;2591
15;31;22;AckSent;123
15;31;22;EventSent;2821
15;31;23;AckSent;159
15;31;23;EventSent;2058
15;31;24;AckSent;423
15;31;24;EventSent;20
15;31;25;AckSent;390
15;31;26;AckSent;509
15;31;27;AckSent;427
15;31;28;AckSent;366
15;31;29;AckSent;422
15;31;30;AckSent;865
15;31;31;AckSent;1242
15;31;31;EventSent;2552
15;31;32;AckSent;1761
15;31;32;EventSent;5012
15;31;33;AckSent;953
15;31;33;EventSent;5040
15;31;34;EventSent;2
15;31;33;EventSent;1
15;31;34;AckSent;637
15;31;34;EventSent;4927
15;31;35;AckSent;1723
15;31;35;EventSent;3259
15;31;36;AckSent;3104
15;31;37;AckSent;3990
15;31;37;EventSent;4169
15;31;38;AckSent;2654
15;31;38;EventSent;4859
15;31;39;AckSent;1715
15;31;39;EventSent;3476
15;31;40;AckSent;1573
15;31;40;EventSent;189
15;31;41;AckSent;2310
15;31;41;EventSent;71
15;31;42;AckSent;2043
15;31;42;EventSent;4865
15;31;43;AckSent;2552
15;31;43;EventSent;4748
15;31;44;AckSent;1821
15;31;44;EventSent;3660
15;31;45;AckSent;3106
15;31;45;EventSent;106
15;31;46;AckSent;2332
15;31;46;EventSent;3762
15;31;47;AckSent;1853
15;31;47;EventSent;4998
15;31;48;AckSent;2087
15;31;48;EventSent;4736
15;31;49;AckSent;3261
15;31;49;EventSent;905
15;31;50;AckSent;3388
15;31;50;EventSent;2440
15;31;51;AckSent;2605
15;31;51;EventSent;4868
15;31;52;AckSent;2306
15;31;52;EventSent;4430
15;31;53;AckSent;2838
15;31;53;EventSent;322
15;31;54;AckSent;2616
15;31;54;EventSent;3166
15;31;55;AckSent;2987
15;31;55;EventSent;5041
15;31;56;AckSent;2184
15;31;56;EventSent;5038
15;31;57;AckSent;8
15;31;57;EventSent;9
15;31;56;EventSent;2
15;31;57;AckSent;1877
15;31;57;EventSent;4803
15;31;58;AckSent;2773
15;31;58;EventSent;3079
15;31;59;AckSent;2449
15;31;59;EventSent;4939
15;32;00;AckSent;2834
15;32;00;EventSent;4933
15;32;01;AckSent;2675
15;32;01;EventSent;4990
15;32;02;AckSent;2732
15;32;02;EventSent;2122
15;32;03;AckSent;1524
15;32;03;EventSent;4828
15;32;04;AckSent;1416
15;32;04;EventSent;3810
15;32;05;AckSent;2109
15;32;05;EventSent;3439
15;32;06;AckSent;1880
15;32;06;EventSent;2742
15;32;07;AckSent;2451
15;32;07;EventSent;785
15;32;08;AckSent;4083
15;32;09;AckSent;3100
15;32;09;EventSent;4521
15;32;10;AckSent;3419
15;32;10;EventSent;4942
15;32;11;AckSent;4267
15;32;11;EventSent;2268
15;32;12;AckSent;2807
15;32;12;EventSent;4811
15;32;13;AckSent;2598
15;32;13;EventSent;4942
15;32;14;AckSent;2410
15;32;14;EventSent;4803
15;32;15;AckSent;2800
15;32;15;EventSent;3740
15;32;16;AckSent;1982
15;32;16;EventSent;4831
15;32;17;AckSent;2469
15;32;17;EventSent;4890
15;32;18;AckSent;2693
15;32;18;EventSent;4868
15;32;19;AckSent;2634
15;32;19;EventSent;523
15;32;20;AckSent;2637
15;32;20;EventSent;4468
15;32;21;AckSent;3250
15;32;21;EventSent;4924
15;32;22;AckSent;4325
15;32;22;EventSent;3361
15;32;23;AckSent;2694
15;32;23;EventSent;4106
15;32;24;AckSent;2315
15;32;24;EventSent;5009
15;32;25;AckSent;2615
15;32;25;EventSent;4182
15;32;26;AckSent;4568
15;32;26;EventSent;1636
15;32;27;AckSent;2915
15;32;27;EventSent;4630
15;32;28;AckSent;2331
15;32;28;EventSent;5001
15;32;29;AckSent;3288
15;32;29;EventSent;1827
15;32;30;AckSent;3156
15;32;30;EventSent;4107
15;32;31;AckSent;3384
15;32;31;EventSent;4937
15;32;32;AckSent;3893
15;32;32;EventSent;3984
15;32;33;AckSent;3201
15;32;33;EventSent;4035
15;32;34;AckSent;2359
15;32;34;EventSent;4836
15;32;35;AckSent;1984
15;32;35;EventSent;4676
15;32;36;AckSent;3303
15;32;36;EventSent;1047
15;32;37;AckSent;2335
15;32;37;EventSent;3340
15;32;38;AckSent;2862
15;32;38;EventSent;4798
15;32;39;AckSent;2688
15;32;39;EventSent;4635
15;32;40;AckSent;2882
15;32;40;EventSent;1618
15;32;41;AckSent;2429
15;32;41;EventSent;3852
15;32;42;AckSent;2976
15;32;42;EventSent;4936
15;32;43;AckSent;2421
15;32;43;EventSent;5030
15;32;44;EventSent;2
15;32;43;EventSent;1
15;32;44;AckSent;2812
15;32;44;EventSent;1690
15;32;45;AckSent;2916
15;32;45;EventSent;3445
15;32;46;AckSent;1824
15;32;46;EventSent;4911
15;32;47;AckSent;3620
15;32;47;EventSent;4879
15;32;48;AckSent;4113
15;32;48;EventSent;2734
15;32;49;AckSent;2274
15;32;49;EventSent;4660
15;32;50;AckSent;2566
15;32;50;EventSent;4427
15;32;51;AckSent;2046
15;32;51;EventSent;4492
15;32;52;AckSent;3232
15;32;52;EventSent;299
15;32;53;AckSent;3755
15;32;53;EventSent;4110
15;32;54;AckSent;1854
15;32;54;EventSent;4895
15;32;55;AckSent;2962
15;32;55;EventSent;2761
15;32;56;AckSent;2798
15;32;56;EventSent;2183
15;32;57;AckSent;2562
15;32;57;EventSent;4830
15;32;58;AckSent;1958
15;32;58;EventSent;4713
15;32;59;EventSent;1
15;32;58;AckSent;1
15;32;59;AckSent;2740
15;32;59;EventSent;2714
15;33;00;AckSent;2958
15;33;00;EventSent;1626
15;33;01;AckSent;2499
15;33;01;EventSent;4511
15;33;02;AckSent;2459
15;33;02;EventSent;4891
15;33;03;AckSent;2865
15;33;03;EventSent;4129
15;33;04;AckSent;2287
15;33;04;EventSent;325
15;33;05;AckSent;3126
15;33;05;EventSent;4846
15;33;06;AckSent;2384
15;33;06;EventSent;4875
15;33;07;AckSent;2996
15;33;07;EventSent;3017
15;33;08;AckSent;2815
15;33;08;EventSent;1818
15;33;09;AckSent;1985
15;33;09;EventSent;5005
15;33;10;AckSent;1901
15;33;10;EventSent;4846
15;33;11;AckSent;2915
15;33;11;EventSent;2022
15;33;12;AckSent;3375
15;33;12;EventSent;1887
15;33;13;AckSent;2961
15;33;13;EventSent;4838
15;33;14;AckSent;3398
15;33;14;EventSent;5022
15;33;15;AckSent;3488
15;33;15;EventSent;3450
15;33;16;AckSent;3922
15;33;16;EventSent;2930
15;33;17;AckSent;3610
15;33;17;EventSent;4994
15;33;18;AckSent;2572
15;33;18;EventSent;4638
15;33;19;AckSent;2322
15;33;19;EventSent;4047
15;33;20;AckSent;1699
15;33;20;EventSent;4956
15;33;21;AckSent;3594
15;33;21;EventSent;4600
15;33;22;AckSent;2565
15;33;22;EventSent;4850
15;33;23;AckSent;1611
15;33;23;EventSent;4832
15;33;24;AckSent;2936
15;33;24;EventSent;4826
15;33;25;AckSent;3208
15;33;25;EventSent;4747
15;33;26;AckSent;3470
15;33;26;EventSent;4324
15;33;27;AckSent;3102
15;33;27;EventSent;3577
15;33;28;AckSent;1884
15;33;28;EventSent;4947
15;33;29;AckSent;1781
15;33;29;EventSent;5034
15;33;30;AckSent;2928
15;33;30;EventSent;2252
15;33;31;AckSent;3255
15;33;31;EventSent;4961
15;33;32;AckSent;2367
15;33;32;EventSent;5010
15;33;33;AckSent;2476
15;33;33;EventSent;4945
15;33;34;AckSent;2954
15;33;34;EventSent;4029
15;33;35;AckSent;3285
15;33;35;EventSent;3441
15;33;36;AckSent;1835
