hour;minute;second;event;total
16;26;02;EventSent;1458
16;26;03;EventSent;1
16;26;02;EventSent;3
16;26;03;EventSent;12
16;26;02;EventSent;1
16;26;03;EventSent;1
16;26;02;EventSent;1
16;26;03;AckSent;48
16;26;03;EventSent;3053
16;26;04;EventSent;2
16;26;03;EventSent;1
16;26;04;EventSent;7
16;26;03;EventSent;1
16;26;04;AckSent;138
16;26;04;EventSent;2407
16;26;05;EventSent;4
16;26;04;AckSent;1
16;26;04;EventSent;1
16;26;05;AckSent;4
16;26;05;EventSent;1
16;26;04;EventSent;2
16;26;05;EventSent;3
16;26;04;EventSent;1
16;26;05;EventSent;1
16;26;04;EventSent;3
16;26;05;EventSent;8
16;26;04;EventSent;3
16;26;05;EventSent;1
16;26;04;EventSent;5
16;26;05;AckSent;99
16;26;05;EventSent;1909
16;26;06;EventSent;52
16;26;05;EventSent;12
16;26;06;EventSent;16
16;26;05;AckSent;1
16;26;06;AckSent;3
16;26;06;EventSent;4
16;26;05;EventSent;4
16;26;06;EventSent;2
16;26;05;EventSent;1
16;26;06;AckSent;149
16;26;06;EventSent;2608
16;26;07;EventSent;26
16;26;06;AckSent;1
16;26;06;EventSent;2
16;26;07;EventSent;7
16;26;06;EventSent;4
16;26;07;EventSent;1
16;26;06;EventSent;2
16;26;07;EventSent;1
16;26;06;EventSent;2
16;26;07;AckSent;159
16;26;07;EventSent;3270
16;26;08;EventSent;3
16;26;07;EventSent;4
16;26;08;EventSent;1
16;26;07;EventSent;6
16;26;08;AckSent;3
16;26;08;EventSent;30
16;26;07;EventSent;1
16;26;08;AckSent;102
16;26;08;EventSent;3561
16;26;09;EventSent;2
16;26;08;EventSent;1
16;26;09;EventSent;4
16;26;08;EventSent;4
16;26;09;EventSent;16
16;26;08;EventSent;1
16;26;09;AckSent;96
16;26;09;EventSent;3294
16;26;10;AckSent;107
16;26;10;EventSent;3764
16;26;11;EventSent;3
16;26;10;EventSent;9
16;26;11;EventSent;3
16;26;10;EventSent;2
16;26;11;EventSent;1
16;26;10;EventSent;1
16;26;11;EventSent;15
16;26;10;AckSent;1
16;26;10;EventSent;5
16;26;11;AckSent;41
16;26;11;EventSent;603
16;26;12;EventSent;1
16;26;11;EventSent;1
16;26;12;EventSent;2
16;26;11;AckSent;1
16;26;11;EventSent;14
16;26;12;AckSent;81
16;26;12;EventSent;2588
16;26;13;EventSent;5
16;26;12;EventSent;3
16;26;13;EventSent;12
16;26;12;EventSent;1
16;26;13;EventSent;9
16;26;12;EventSent;1
16;26;13;AckSent;79
16;26;13;EventSent;3429
16;26;14;EventSent;1
16;26;13;EventSent;3
16;26;14;EventSent;1
16;26;13;EventSent;1
16;26;14;AckSent;1
16;26;14;EventSent;4
16;26;13;EventSent;1
16;26;14;AckSent;87
16;26;14;EventSent;1469
16;26;15;AckSent;93
16;26;16;AckSent;131
16;26;17;AckSent;62
16;26;18;AckSent;48
16;26;19;AckSent;51
16;26;20;AckSent;52
16;26;21;AckSent;55
16;26;22;AckSent;56
16;26;23;AckSent;91
16;26;24;AckSent;66
16;26;25;AckSent;49
16;26;26;AckSent;59
16;26;27;AckSent;56
16;26;28;AckSent;60
16;26;29;AckSent;59
16;26;30;AckSent;60
16;26;31;AckSent;57
16;26;32;AckSent;67
16;26;33;AckSent;46
16;26;34;AckSent;100
16;26;35;AckSent;83
16;26;36;AckSent;47
16;26;37;AckSent;28
16;26;38;AckSent;42
16;26;39;AckSent;50
16;26;40;AckSent;38
16;26;41;AckSent;90
16;26;42;AckSent;72
16;26;43;AckSent;20
16;26;44;AckSent;60
16;26;45;AckSent;40
16;26;46;AckSent;25
16;26;47;AckSent;41
16;26;48;AckSent;47
16;26;49;AckSent;88
16;26;50;AckSent;92
16;26;51;AckSent;97
16;26;52;AckSent;74
16;26;53;AckSent;38
16;26;54;AckSent;24
16;26;55;AckSent;71
16;26;56;AckSent;72
16;26;57;AckSent;99
16;26;58;AckSent;39
16;26;59;AckSent;154
16;27;00;AckSent;310
16;27;01;AckSent;115
16;27;02;AckSent;55
16;27;03;AckSent;89
16;27;04;AckSent;124
16;27;05;AckSent;242
16;27;06;AckSent;244
16;27;07;AckSent;213
16;27;08;AckSent;662
16;27;09;AckSent;475
16;27;10;AckSent;487
16;27;11;AckSent;554
16;27;11;EventSent;3398
16;27;12;EventSent;18
16;27;11;EventSent;5
16;27;12;AckSent;658
16;27;12;EventSent;9833
16;27;13;AckSent;457
16;27;13;EventSent;8671
16;27;14;AckSent;1263
16;27;14;EventSent;7412
16;27;15;AckSent;2212
16;27;16;AckSent;320
16;27;17;AckSent;721
16;27;17;EventSent;6447
16;27;18;AckSent;616
16;27;18;EventSent;8770
16;27;19;AckSent;795
16;27;19;EventSent;5341
16;27;20;AckSent;2417
16;27;21;AckSent;1479
16;27;22;AckSent;307
16;27;22;EventSent;461
16;27;23;EventSent;15
16;27;22;EventSent;8
16;27;23;AckSent;1568
16;27;23;EventSent;8488
16;27;24;AckSent;1036
16;27;24;EventSent;9341
16;27;25;EventSent;6
16;27;24;EventSent;4
16;27;25;AckSent;1460
16;27;25;EventSent;5844
16;27;26;AckSent;1622
16;27;27;AckSent;2724
16;27;28;AckSent;1645
16;27;28;EventSent;4985
16;27;29;AckSent;1158
16;27;29;EventSent;4044
16;27;30;AckSent;1570
16;27;30;EventSent;4361
16;27;31;AckSent;1818
16;27;32;AckSent;1581
16;27;32;EventSent;2425
16;27;33;AckSent;1049
16;27;33;EventSent;10096
16;27;34;EventSent;3
16;27;33;EventSent;6
16;27;34;AckSent;1214
16;27;34;EventSent;10189
16;27;35;AckSent;1442
16;27;35;EventSent;1285
16;27;36;AckSent;1524
16;27;36;EventSent;8331
16;27;37;AckSent;1191
16;27;37;EventSent;10184
16;27;38;EventSent;1
16;27;37;EventSent;4
16;27;38;AckSent;1012
16;27;38;EventSent;5312
16;27;39;AckSent;2346
16;27;40;AckSent;1295
16;27;41;AckSent;1098
16;27;42;AckSent;1288
16;27;43;AckSent;1093
16;27;43;EventSent;1869
16;27;44;EventSent;11
16;27;43;EventSent;1
16;27;44;AckSent;873
16;27;44;EventSent;8719
16;27;45;AckSent;810
16;27;45;EventSent;8901
16;27;46;AckSent;1550
16;27;46;EventSent;4312
16;27;47;AckSent;2279
16;27;48;AckSent;1321
16;27;48;EventSent;6990
16;27;49;AckSent;1061
16;27;49;EventSent;9410
16;27;50;AckSent;1577
16;27;50;EventSent;6237
16;27;51;AckSent;2577
16;27;52;AckSent;2456
16;27;53;AckSent;1789
16;27;53;EventSent;1243
16;27;54;EventSent;1
16;27;53;EventSent;1
16;27;54;AckSent;1082
16;27;54;EventSent;10135
16;27;55;AckSent;738
16;27;55;EventSent;9904
16;27;56;AckSent;2518
16;27;56;EventSent;2458
16;27;57;AckSent;1874
16;27;57;EventSent;3978
16;27;58;EventSent;2
16;27;57;EventSent;1
16;27;58;AckSent;1755
16;27;58;EventSent;9919
16;27;59;AckSent;480
16;27;59;EventSent;9790
16;28;00;AckSent;1842
16;28;00;EventSent;50
16;28;01;AckSent;1508
16;28;02;AckSent;2399
16;28;03;AckSent;2110
16;28;03;EventSent;526
16;28;04;AckSent;1427
16;28;04;EventSent;9616
16;28;05;AckSent;925
16;28;05;EventSent;9635
16;28;06;AckSent;1651
16;28;06;EventSent;4535
16;28;07;AckSent;2028
16;28;08;AckSent;2415
16;28;08;EventSent;881
16;28;09;AckSent;1267
16;28;09;EventSent;864
16;28;10;AckSent;1971
16;28;10;EventSent;330
16;28;11;AckSent;1895
16;28;12;AckSent;1283
16;28;13;AckSent;1691
16;28;13;EventSent;7083
16;28;14;AckSent;732
16;28;14;EventSent;7764
16;28;15;AckSent;1708
16;28;15;EventSent;9982
16;28;16;AckSent;1226
16;28;16;EventSent;10040
16;28;17;AckSent;2583
16;28;17;EventSent;5866
16;28;18;AckSent;2791
16;28;19;AckSent;1731
16;28;19;EventSent;13
16;28;20;AckSent;1334
16;28;20;EventSent;9391
16;28;21;AckSent;1298
16;28;21;EventSent;9837
16;28;22;AckSent;1270
16;28;22;EventSent;4675
16;28;23;AckSent;2032
16;28;23;EventSent;8736
16;28;24;AckSent;1290
16;28;24;EventSent;10083
16;28;25;AckSent;1035
16;28;25;EventSent;4942
16;28;26;AckSent;1942
16;28;27;AckSent;2342
16;28;28;AckSent;2194
16;28;28;EventSent;3814
16;28;29;AckSent;1287
16;28;29;EventSent;9625
16;28;30;AckSent;1383
16;28;30;EventSent;9199
16;28;31;AckSent;2782
16;28;32;AckSent;1163
16;28;32;EventSent;8777
16;28;33;EventSent;1
16;28;32;EventSent;2
16;28;33;EventSent;1
16;28;32;EventSent;1
16;28;33;EventSent;2
16;28;32;EventSent;1
16;28;33;AckSent;1095
16;28;33;EventSent;9745
16;28;34;AckSent;1625
16;28;34;EventSent;5286
16;28;35;AckSent;1845
16;28;36;AckSent;1331
16;28;37;AckSent;1415
16;28;38;AckSent;1283
16;28;39;AckSent;1356
16;28;39;EventSent;6134
16;28;40;AckSent;4
16;28;40;EventSent;20
16;28;39;EventSent;1
16;28;40;AckSent;1127
16;28;40;EventSent;9657
16;28;41;AckSent;1764
16;28;41;EventSent;8170
16;28;42;AckSent;2117
16;28;43;AckSent;1836
16;28;43;EventSent;6475
16;28;44;AckSent;1153
16;28;44;EventSent;9837
16;28;45;AckSent;1118
16;28;45;EventSent;7261
16;28;46;AckSent;1794
16;28;46;EventSent;217
16;28;47;AckSent;1769
16;28;48;AckSent;1365
