hour;minute;second;event;total
16;17;38;EventSent;99
16;17;39;EventSent;2
16;17;38;EventSent;1
16;17;39;EventSent;1880
16;17;40;EventSent;2
16;17;39;EventSent;2
16;17;40;EventSent;1
16;17;39;EventSent;1
16;17;40;EventSent;1
16;17;40;EventSent;2654
16;17;41;EventSent;7
16;17;40;EventSent;3
16;17;41;EventSent;3
16;17;40;EventSent;3
16;17;41;EventSent;34
16;17;40;EventSent;1
16;17;41;EventSent;2658
16;17;42;EventSent;6
16;17;41;EventSent;1
16;17;42;EventSent;20
16;17;41;EventSent;4
16;17;42;EventSent;2237
16;17;43;EventSent;1
16;17;42;EventSent;1
16;17;43;EventSent;3
16;17;42;EventSent;2
16;17;43;EventSent;2684
16;17;44;EventSent;2
16;17;43;EventSent;2
16;17;44;EventSent;1
16;17;43;EventSent;2
16;17;44;EventSent;3
16;17;43;EventSent;2
16;17;44;EventSent;1
16;17;43;EventSent;6
16;17;44;EventSent;2952
16;17;45;EventSent;3
16;17;44;EventSent;1
16;17;45;EventSent;1
16;17;44;EventSent;2
16;17;45;EventSent;1
16;17;44;EventSent;2
16;17;45;EventSent;1
16;17;44;EventSent;2
16;17;45;EventSent;23
16;17;44;EventSent;5
16;17;45;EventSent;1
16;17;44;EventSent;2
16;17;45;EventSent;1
16;17;44;EventSent;2
16;17;45;EventSent;1
16;17;44;EventSent;1
16;17;45;EventSent;2
16;17;44;EventSent;1
16;17;45;EventSent;2
16;17;44;EventSent;1
16;17;45;EventSent;2840
16;17;46;EventSent;4
16;17;45;EventSent;1
16;17;46;EventSent;30
16;17;45;EventSent;1
16;17;46;EventSent;3336
16;17;47;EventSent;1
16;17;46;EventSent;14
16;17;47;EventSent;1
16;17;46;EventSent;4
16;17;47;EventSent;1
16;17;46;EventSent;2
16;17;47;EventSent;2231
16;17;48;EventSent;27
16;17;47;EventSent;1
16;17;48;EventSent;5
16;17;47;EventSent;1
16;17;48;EventSent;2
16;17;47;EventSent;1
16;17;48;EventSent;3347
16;17;49;EventSent;2
16;17;48;EventSent;2
16;17;49;EventSent;3000
16;17;50;EventSent;2
16;17;49;EventSent;13
16;17;50;EventSent;1
16;17;49;EventSent;4
16;17;50;EventSent;1
16;17;49;EventSent;1
16;17;50;EventSent;2948
16;17;51;EventSent;3583
16;17;52;EventSent;21
16;17;51;EventSent;1
16;17;52;EventSent;7
16;17;51;EventSent;2
16;17;52;EventSent;1
16;17;51;EventSent;1
16;17;52;EventSent;2
16;17;51;EventSent;1
16;17;52;EventSent;3120
16;17;53;EventSent;32
16;17;52;EventSent;1
16;17;53;EventSent;1
16;17;52;EventSent;3
16;17;53;EventSent;2971
16;17;54;EventSent;2
16;17;53;EventSent;3
16;17;54;EventSent;2975
16;17;55;EventSent;55
16;17;54;EventSent;9
16;17;55;EventSent;1
16;17;54;EventSent;2
16;17;55;EventSent;2524
16;17;56;EventSent;3
16;17;55;EventSent;1
16;17;56;EventSent;2
16;17;55;EventSent;1
16;17;56;EventSent;1
16;17;55;EventSent;1
16;17;56;EventSent;2
16;17;55;EventSent;3
16;17;56;EventSent;2
16;17;55;EventSent;1
16;17;56;EventSent;3207
16;17;57;EventSent;21
16;17;56;EventSent;3
16;17;57;EventSent;3411
16;17;58;EventSent;6
16;17;57;EventSent;1
16;17;58;EventSent;7
