hour;minute;second;event;total
16;17;38;EventSent;93
16;17;39;EventSent;2116
16;17;40;EventSent;3
16;17;39;EventSent;1
16;17;40;EventSent;3
16;17;39;EventSent;3
16;17;40;EventSent;10
16;17;39;EventSent;2
16;17;40;EventSent;2606
16;17;41;EventSent;12
16;17;40;EventSent;2
16;17;41;EventSent;6
16;17;40;EventSent;1
16;17;41;EventSent;3
16;17;40;EventSent;1
16;17;41;EventSent;30
16;17;40;EventSent;1
16;17;41;EventSent;8
16;17;40;EventSent;2
16;17;41;EventSent;2
16;17;40;EventSent;2
16;17;41;EventSent;2779
16;17;42;EventSent;24
16;17;41;EventSent;7
16;17;42;EventSent;2916
16;17;43;EventSent;2
16;17;42;EventSent;3
16;17;43;EventSent;1
16;17;42;EventSent;3
16;17;43;EventSent;1
16;17;42;EventSent;2
16;17;43;EventSent;1
16;17;42;EventSent;5
16;17;43;EventSent;3334
16;17;44;EventSent;22
16;17;43;EventSent;1
16;17;44;EventSent;2964
16;17;45;EventSent;1
16;17;44;EventSent;2
16;17;45;EventSent;6
16;17;44;EventSent;1
16;17;45;EventSent;3459
16;17;46;EventSent;25
16;17;45;EventSent;2
16;17;46;EventSent;6
16;17;45;EventSent;1
16;17;46;EventSent;1
16;17;45;EventSent;1
16;17;46;EventSent;3618
16;17;47;EventSent;9
16;17;46;EventSent;2
16;17;47;EventSent;13
16;17;46;EventSent;3
16;17;47;EventSent;1
16;17;46;EventSent;1
16;17;47;EventSent;1
16;17;46;EventSent;2
16;17;47;EventSent;2
16;17;46;EventSent;2
16;17;47;EventSent;3718
16;17;48;EventSent;23
16;17;47;EventSent;1
16;17;48;EventSent;3443
16;17;49;EventSent;6
16;17;48;EventSent;1
16;17;49;EventSent;50
16;17;48;EventSent;1
16;17;49;EventSent;1
16;17;48;EventSent;1
16;17;49;EventSent;3562
16;17;50;EventSent;9
16;17;49;EventSent;3
16;17;50;EventSent;3595
16;17;51;EventSent;11
16;17;50;EventSent;2
16;17;51;EventSent;8
16;17;50;EventSent;5
16;17;51;EventSent;4110
16;17;52;EventSent;21
16;17;51;EventSent;1
16;17;52;EventSent;5
16;17;51;EventSent;4
16;17;52;EventSent;1
16;17;51;EventSent;1
16;17;52;EventSent;3508
16;17;53;EventSent;14
16;17;52;EventSent;1
16;17;53;EventSent;1
16;17;52;EventSent;8
16;17;53;EventSent;4044
16;17;54;EventSent;2
16;17;53;EventSent;1
16;17;54;EventSent;2
16;17;53;EventSent;1
16;17;54;EventSent;1
16;17;53;EventSent;1
16;17;54;EventSent;3825
16;17;55;EventSent;11
16;17;54;EventSent;1
16;17;55;EventSent;4263
16;17;56;EventSent;17
16;17;55;EventSent;3
16;17;56;EventSent;11
16;17;55;EventSent;1
16;17;56;EventSent;4290
16;17;57;EventSent;1
16;17;56;EventSent;4
16;17;57;EventSent;12
16;17;56;EventSent;1
16;17;57;EventSent;4156
16;17;58;EventSent;6
16;17;57;EventSent;1
16;17;58;EventSent;1
16;17;57;EventSent;2
16;17;58;EventSent;16
16;17;57;EventSent;3
16;17;58;EventSent;3375
16;17;59;EventSent;3
16;17;58;EventSent;1
16;17;59;EventSent;15
16;17;58;EventSent;2
16;17;59;EventSent;49
16;17;58;EventSent;1
16;17;59;EventSent;4751
16;18;00;EventSent;27
16;17;59;EventSent;1
16;18;00;EventSent;1
16;17;59;EventSent;5
16;18;00;EventSent;6
16;17;59;EventSent;5
16;18;00;EventSent;4837
16;18;01;EventSent;7
16;18;00;EventSent;1
16;18;01;EventSent;20
16;18;00;EventSent;1
16;18;01;EventSent;2842
16;18;02;EventSent;863
16;18;03;EventSent;125
16;18;04;EventSent;3789
16;18;05;EventSent;6
16;18;04;EventSent;2
16;18;05;EventSent;4157
16;18;06;EventSent;1
16;18;05;EventSent;1
16;18;06;EventSent;16
16;18;05;EventSent;7
16;18;06;EventSent;2
16;18;05;EventSent;4
16;18;06;EventSent;5
16;18;05;EventSent;1
16;18;06;EventSent;4503
16;18;07;EventSent;44
16;18;06;EventSent;4
16;18;07;EventSent;3638
16;18;08;EventSent;1
16;18;07;EventSent;2
16;18;08;EventSent;3736
16;18;09;EventSent;1
16;18;08;EventSent;1
16;18;09;EventSent;20
16;18;08;EventSent;1
16;18;09;EventSent;4560
16;18;10;EventSent;778
16;18;15;EventSent;1941
