hour;minute;second;event;total
16;17;39;EventSent;1421
16;17;40;EventSent;1
16;17;39;EventSent;1
16;17;40;EventSent;10
16;17;40;AckSent;19
16;17;40;EventSent;3214
16;17;41;AckSent;8
16;17;41;EventSent;7
16;17;40;EventSent;3
16;17;41;EventSent;8
16;17;40;EventSent;2
16;17;41;EventSent;33
16;17;40;EventSent;2
16;17;41;EventSent;1
16;17;40;EventSent;3
16;17;41;AckSent;112
16;17;41;EventSent;2459
16;17;42;AckSent;5
16;17;42;EventSent;2
16;17;41;EventSent;3
16;17;42;EventSent;1
16;17;41;EventSent;8
16;17;42;AckSent;164
16;17;42;EventSent;3199
16;17;43;EventSent;1
16;17;42;EventSent;1
16;17;43;EventSent;2
16;17;42;EventSent;2
16;17;43;AckSent;153
16;17;43;EventSent;2852
16;17;44;EventSent;1
16;17;43;EventSent;2
16;17;44;AckSent;166
16;17;44;EventSent;3532
16;17;45;EventSent;70
16;17;44;AckSent;1
16;17;45;EventSent;1
16;17;44;EventSent;3
16;17;45;EventSent;1
16;17;44;EventSent;1
16;17;45;EventSent;4
16;17;44;EventSent;2
16;17;45;AckSent;1
16;17;45;EventSent;1
16;17;44;EventSent;2
16;17;45;EventSent;1
16;17;44;EventSent;1
16;17;45;EventSent;3
16;17;44;EventSent;1
16;17;45;AckSent;173
16;17;45;EventSent;4184
16;17;46;AckSent;5
16;17;46;EventSent;23
16;17;45;EventSent;1
16;17;46;EventSent;1
16;17;45;EventSent;1
16;17;46;AckSent;1
16;17;45;EventSent;1
16;17;46;AckSent;173
16;17;46;EventSent;4177
16;17;47;EventSent;73
16;17;46;AckSent;1
16;17;47;EventSent;16
16;17;46;EventSent;2
16;17;47;EventSent;1
16;17;46;EventSent;1
16;17;47;AckSent;180
16;17;47;EventSent;3284
16;17;48;EventSent;10
16;17;47;EventSent;2
16;17;48;AckSent;227
16;17;48;EventSent;182
16;17;49;AckSent;251
16;17;50;AckSent;105
16;17;51;AckSent;63
16;17;52;AckSent;70
16;17;53;AckSent;140
16;17;54;AckSent;117
16;17;55;AckSent;106
16;17;56;AckSent;104
16;17;57;AckSent;88
16;17;58;AckSent;91
16;17;59;AckSent;97
16;18;00;AckSent;77
16;18;01;AckSent;61
16;18;02;AckSent;49
16;18;03;AckSent;100
16;18;04;AckSent;115
16;18;05;AckSent;63
16;18;06;AckSent;77
16;18;07;AckSent;57
16;18;08;AckSent;99
16;18;09;AckSent;79
16;18;10;AckSent;51
16;18;11;AckSent;63
16;18;12;AckSent;66
16;18;13;AckSent;51
16;18;14;AckSent;50
16;18;15;AckSent;36
16;18;16;AckSent;31
16;18;17;AckSent;65
16;18;18;AckSent;60
16;18;19;AckSent;17
16;18;20;AckSent;68
16;18;21;AckSent;15
16;18;22;AckSent;36
16;18;23;AckSent;66
16;18;24;AckSent;87
16;18;25;AckSent;77
16;18;26;AckSent;45
16;18;27;AckSent;78
16;18;28;AckSent;41
16;18;29;AckSent;31
16;18;30;AckSent;43
16;18;31;AckSent;121
16;18;32;AckSent;172
16;18;33;AckSent;295
16;18;34;AckSent;236
16;18;35;AckSent;67
16;18;36;AckSent;121
16;18;37;AckSent;79
16;18;38;AckSent;111
16;18;39;AckSent;58
16;18;40;AckSent;94
16;18;41;AckSent;296
16;18;42;AckSent;119
16;18;43;AckSent;324
16;18;44;AckSent;192
16;18;45;AckSent;238
16;18;45;EventSent;2316
16;18;46;AckSent;355
16;18;46;EventSent;9484
16;18;47;AckSent;571
16;18;47;EventSent;9140
16;18;48;AckSent;588
16;18;48;EventSent;4426
16;18;49;AckSent;686
16;18;50;AckSent;743
16;18;51;AckSent;791
16;18;52;AckSent;862
16;18;53;AckSent;1723
16;18;54;AckSent;629
16;18;55;AckSent;1414
16;18;56;AckSent;1122
16;18;57;AckSent;1839
16;18;58;AckSent;1885
16;18;59;AckSent;1064
16;19;00;AckSent;1012
16;19;00;EventSent;3971
16;19;01;AckSent;982
16;19;01;EventSent;9540
16;19;02;EventSent;1
16;19;01;EventSent;1
16;19;02;AckSent;1218
16;19;02;EventSent;9922
16;19;03;EventSent;2
16;19;02;EventSent;4
16;19;03;EventSent;3
16;19;02;EventSent;2
16;19;03;EventSent;1
16;19;02;AckSent;1
16;19;02;EventSent;2
16;19;03;AckSent;983
16;19;03;EventSent;9872
16;19;04;AckSent;2225
16;19;04;EventSent;1068
16;19;05;AckSent;2045
16;19;06;AckSent;1651
16;19;07;AckSent;1787
16;19;08;AckSent;1803
16;19;09;AckSent;1296
16;19;10;AckSent;1836
16;19;10;EventSent;8067
16;19;11;AckSent;812
16;19;11;EventSent;9484
16;19;12;AckSent;1621
16;19;12;EventSent;6258
16;19;13;AckSent;1431
16;19;13;EventSent;6557
16;19;14;AckSent;1511
16;19;14;EventSent;6930
16;19;15;AckSent;1889
16;19;15;EventSent;2932
16;19;16;AckSent;3103
16;19;17;AckSent;895
16;19;18;AckSent;1052
16;19;19;AckSent;1665
16;19;20;AckSent;1387
16;19;21;AckSent;2012
16;19;22;AckSent;2249
16;19;22;EventSent;1152
16;19;23;AckSent;1417
16;19;23;EventSent;9776
16;19;24;EventSent;1
16;19;23;EventSent;1
16;19;24;EventSent;1
16;19;23;EventSent;1
16;19;24;AckSent;1009
16;19;24;EventSent;7337
16;19;25;AckSent;1699
16;19;25;EventSent;5580
16;19;26;AckSent;2028
16;19;27;AckSent;2592
16;19;28;AckSent;1976
16;19;28;EventSent;1647
16;19;29;AckSent;1866
16;19;29;EventSent;2976
16;19;30;AckSent;1441
16;19;30;EventSent;2570
16;19;31;AckSent;2711
16;19;32;AckSent;1388
16;19;33;AckSent;1149
16;19;34;AckSent;1677
16;19;35;AckSent;949
16;19;36;AckSent;866
16;19;37;AckSent;2009
16;19;37;EventSent;6737
16;19;38;AckSent;1146
16;19;38;EventSent;9919
16;19;39;AckSent;1933
16;19;39;EventSent;7327
16;19;40;AckSent;1937
16;19;40;EventSent;3951
16;19;41;AckSent;2639
16;19;41;EventSent;7508
16;19;42;AckSent;3456
16;19;42;EventSent;5975
16;19;43;AckSent;3226
