hour;minute;second;event;total
11;09;43;EventSent;226
11;09;44;EventSent;337
11;09;45;EventSent;347
11;09;46;EventSent;356
11;09;47;EventSent;378
11;09;48;EventSent;383
11;09;49;EventSent;366
11;09;50;EventSent;370
11;09;51;EventSent;378
11;09;52;EventSent;383
11;09;53;EventSent;392
11;09;54;EventSent;402
11;09;55;EventSent;394
11;09;56;EventSent;387
11;09;57;EventSent;407
11;09;58;EventSent;404
11;09;59;EventSent;400
11;10;00;EventSent;419
11;10;01;EventSent;397
11;10;02;EventSent;398
11;10;03;EventSent;401
11;10;04;EventSent;418
11;10;05;EventSent;417
11;10;06;EventSent;387
11;10;07;EventSent;392
11;10;08;EventSent;398
11;10;09;EventSent;412
11;10;10;EventSent;411
11;10;11;EventSent;419
11;10;12;EventSent;414
11;10;13;EventSent;427
11;10;14;EventSent;417
11;10;15;EventSent;434
11;10;16;EventSent;413
11;10;17;EventSent;423
11;10;18;EventSent;432
11;10;19;EventSent;430
11;10;20;EventSent;429
11;10;21;EventSent;431
11;10;22;EventSent;421
11;10;23;EventSent;430
11;10;24;EventSent;424
11;10;25;EventSent;429
11;10;26;EventSent;425
11;10;27;EventSent;413
11;10;28;EventSent;419
11;10;29;EventSent;418
11;10;30;EventSent;440
11;10;31;EventSent;430
11;10;32;EventSent;430
11;10;33;EventSent;439
11;10;34;EventSent;425
11;10;35;EventSent;423
11;10;36;EventSent;428
11;10;37;EventSent;436
11;10;38;EventSent;442
11;10;39;EventSent;433
11;10;40;EventSent;428
11;10;41;EventSent;436
11;10;42;EventSent;440
11;10;43;EventSent;437
11;10;44;EventSent;428
11;10;45;EventSent;429
11;10;46;EventSent;425
11;10;47;EventSent;425
11;10;48;EventSent;429
11;10;49;EventSent;429
11;10;50;EventSent;430
11;10;51;EventSent;420
11;10;52;EventSent;436
11;10;53;EventSent;441
11;10;54;EventSent;426
11;10;55;EventSent;425
11;10;56;EventSent;421
11;10;57;EventSent;419
11;10;58;EventSent;431
11;10;59;EventSent;439
11;11;00;EventSent;429
11;11;01;EventSent;428
11;11;02;EventSent;423
11;11;03;EventSent;423
11;11;04;EventSent;424
11;11;05;EventSent;430
11;11;06;EventSent;427
11;11;07;EventSent;428
11;11;08;EventSent;424
11;11;09;EventSent;433
11;11;10;EventSent;429
11;11;11;EventSent;419
11;11;12;EventSent;421
11;11;13;EventSent;426
11;11;14;EventSent;427
11;11;15;EventSent;431
11;11;16;EventSent;431
11;11;17;EventSent;420
11;11;18;EventSent;426
11;11;19;EventSent;423
11;11;20;EventSent;426
11;11;21;EventSent;428
11;11;22;EventSent;420
11;11;23;EventSent;426
11;11;24;EventSent;414
11;11;25;EventSent;421
11;11;26;EventSent;429
11;11;27;EventSent;413
11;11;28;EventSent;416
11;11;29;EventSent;433
11;11;30;EventSent;423
11;11;31;EventSent;425
11;11;32;EventSent;426
11;11;33;EventSent;426
11;11;34;EventSent;427
11;11;35;EventSent;425
11;11;36;EventSent;430
11;11;37;EventSent;425
11;11;38;EventSent;433
11;11;39;EventSent;425
11;11;40;EventSent;423
11;11;41;EventSent;434
11;11;42;EventSent;419
11;11;43;EventSent;426
11;11;44;EventSent;437
11;11;45;EventSent;431
11;11;46;EventSent;428
11;11;47;EventSent;427
11;11;48;EventSent;427
11;11;49;EventSent;431
11;11;50;EventSent;432
11;11;51;EventSent;423
11;11;52;EventSent;423
11;11;53;EventSent;427
11;11;54;EventSent;433
11;11;55;EventSent;432
