hour;minute;second;event;total
11;09;43;AckSent;207
11;09;44;AckSent;273
11;09;45;AckSent;249
11;09;46;AckSent;304
11;09;47;AckSent;293
11;09;48;AckSent;328
11;09;49;AckSent;332
11;09;50;AckSent;303
11;09;51;AckSent;283
11;09;52;AckSent;312
11;09;53;AckSent;291
11;09;54;AckSent;310
11;09;55;AckSent;307
11;09;56;AckSent;309
11;09;57;AckSent;344
11;09;58;AckSent;339
11;09;59;AckSent;349
11;10;00;AckSent;351
11;10;01;AckSent;335
11;10;02;AckSent;301
11;10;03;AckSent;296
11;10;04;AckSent;348
11;10;05;AckSent;353
11;10;06;AckSent;304
11;10;07;AckSent;279
11;10;08;AckSent;319
11;10;09;AckSent;355
11;10;10;AckSent;345
11;10;11;AckSent;354
11;10;12;AckSent;331
11;10;13;AckSent;357
11;10;14;AckSent;356
11;10;15;AckSent;319
11;10;16;AckSent;309
11;10;17;AckSent;342
11;10;18;AckSent;348
11;10;19;AckSent;342
11;10;20;AckSent;339
11;10;21;AckSent;349
11;10;22;AckSent;337
11;10;23;AckSent;378
11;10;24;AckSent;382
11;10;25;AckSent;325
11;10;26;AckSent;356
11;10;27;AckSent;370
11;10;28;AckSent;304
11;10;29;AckSent;359
11;10;30;AckSent;369
11;10;31;AckSent;363
11;10;32;AckSent;328
11;10;33;AckSent;343
11;10;34;AckSent;347
11;10;35;AckSent;345
11;10;36;AckSent;342
11;10;37;AckSent;333
11;10;38;AckSent;316
11;10;39;AckSent;346
11;10;40;AckSent;318
11;10;41;AckSent;337
11;10;42;AckSent;328
11;10;43;AckSent;331
11;10;44;AckSent;342
11;10;45;AckSent;333
11;10;46;AckSent;342
11;10;47;AckSent;347
11;10;48;AckSent;363
11;10;49;AckSent;313
11;10;50;AckSent;368
11;10;51;AckSent;308
11;10;52;AckSent;363
11;10;53;AckSent;346
11;10;54;AckSent;326
11;10;55;AckSent;361
11;10;56;AckSent;317
11;10;57;AckSent;330
11;10;58;AckSent;346
11;10;59;AckSent;360
11;11;00;AckSent;362
11;11;01;AckSent;328
11;11;02;AckSent;325
11;11;03;AckSent;349
11;11;04;AckSent;345
11;11;05;AckSent;345
11;11;06;AckSent;372
11;11;07;AckSent;340
11;11;08;AckSent;358
11;11;09;AckSent;342
11;11;10;AckSent;305
11;11;11;AckSent;335
11;11;12;AckSent;334
11;11;13;AckSent;367
11;11;14;AckSent;355
11;11;15;AckSent;336
11;11;16;AckSent;342
11;11;17;AckSent;340
11;11;18;AckSent;345
11;11;19;AckSent;340
11;11;20;AckSent;296
11;11;21;AckSent;313
11;11;22;AckSent;348
11;11;23;AckSent;319
11;11;24;AckSent;319
11;11;25;AckSent;348
11;11;26;AckSent;359
11;11;27;AckSent;342
11;11;28;AckSent;336
11;11;29;AckSent;334
11;11;30;AckSent;345
11;11;31;AckSent;330
11;11;32;AckSent;329
11;11;33;AckSent;370
11;11;34;AckSent;321
11;11;35;AckSent;317
11;11;36;AckSent;370
11;11;37;AckSent;322
11;11;38;AckSent;334
11;11;39;AckSent;320
11;11;40;AckSent;352
11;11;41;AckSent;346
11;11;42;AckSent;348
11;11;43;AckSent;331
11;11;44;AckSent;335
11;11;45;AckSent;365
11;11;46;AckSent;325
11;11;47;AckSent;335
11;11;48;AckSent;344
11;11;49;AckSent;340
11;11;50;AckSent;353
11;11;51;AckSent;342
11;11;52;AckSent;358
11;11;53;AckSent;350
11;11;54;AckSent;336
11;11;55;AckSent;337
11;11;56;AckSent;367
11;11;57;AckSent;326
11;11;58;AckSent;315
11;11;59;AckSent;352
11;12;00;AckSent;303
11;12;01;AckSent;330
11;12;02;AckSent;314
11;12;03;AckSent;365
11;12;04;AckSent;317
11;12;05;AckSent;369
11;12;06;AckSent;343
11;12;07;AckSent;350
11;12;08;AckSent;345
11;12;09;AckSent;351
11;12;10;AckSent;340
11;12;11;AckSent;304
11;12;12;AckSent;338
11;12;13;AckSent;305
11;12;14;AckSent;339
11;12;15;AckSent;343
11;12;16;AckSent;342
11;12;17;AckSent;388
11;12;18;AckSent;326
11;12;19;AckSent;351
11;12;20;AckSent;328
11;12;21;AckSent;311
11;12;22;AckSent;348
11;12;23;AckSent;337
11;12;24;AckSent;345
11;12;25;AckSent;355
11;12;26;AckSent;336
11;12;27;AckSent;337
11;12;28;AckSent;310
11;12;29;AckSent;325
11;12;30;AckSent;357
11;12;31;AckSent;396
11;12;32;AckSent;317
11;12;33;AckSent;348
11;12;34;AckSent;380
11;12;35;AckSent;342
11;12;36;AckSent;320
11;12;37;AckSent;354
11;12;38;AckSent;387
11;12;39;AckSent;363
11;12;40;AckSent;366
11;12;41;AckSent;323
11;12;42;AckSent;311
11;12;43;AckSent;330
11;12;44;AckSent;362
11;12;45;AckSent;290
11;12;46;AckSent;353
11;12;47;AckSent;339
11;12;48;AckSent;344
11;12;49;AckSent;377
11;12;50;AckSent;355
11;12;51;AckSent;314
11;12;52;AckSent;349
11;12;53;AckSent;317
11;12;54;AckSent;349
11;12;55;AckSent;341
