01:51:34:459;Server environment:java.class.path=/usr/local/storm-0.8.2/storm-0.8.2.jar:/usr/local/storm-0.8.2/lib/hiccup-0.3.6.jar:/usr/local/storm-0.8.2/lib/tools.cli-0.2.2.jar:/usr/local/storm-0.8.2/lib/minlog-1.2.jar:/usr/local/storm-0.8.2/lib/tools.logging-0.2.3.jar:/usr/local/storm-0.8.2/lib/ring-servlet-0.3.11.jar:/usr/local/storm-0.8.2/lib/disruptor-2.10.1.jar:/usr/local/storm-0.8.2/lib/commons-fileupload-1.2.1.jar:/usr/local/storm-0.8.2/lib/slf4j-log4j12-1.5.8.jar:/usr/local/storm-0.8.2/lib/clj-time-0.4.1.jar:/usr/local/storm-0.8.2/lib/asm-4.0.jar:/usr/local/storm-0.8.2/lib/commons-logging-1.1.1.jar:/usr/local/storm-0.8.2/lib/jgrapht-0.8.3.jar:/usr/local/storm-0.8.2/lib/math.numeric-tower-0.0.1.jar:/usr/local/storm-0.8.2/lib/ring-core-1.1.5.jar:/usr/local/storm-0.8.2/lib/servlet-api-2.5-20081211.jar:/usr/local/storm-0.8.2/lib/commons-codec-1.4.jar:/usr/local/storm-0.8.2/lib/reflectasm-1.07-shaded.jar:/usr/local/storm-0.8.2/lib/slf4j-api-1.5.8.jar:/usr/local/storm-0.8.2/lib/zookeeper-3.3.3.jar:/usr/local/storm-0.8.2/lib/commons-exec-1.1.jar:/usr/local/storm-0.8.2/lib/clojure-1.4.0.jar:/usr/local/storm-0.8.2/lib/carbonite-1.5.0.jar:/usr/local/storm-0.8.2/lib/log4j-1.2.16.jar:/usr/local/storm-0.8.2/lib/snakeyaml-1.9.jar:/usr/local/storm-0.8.2/lib/commons-lang-2.5.jar:/usr/local/storm-0.8.2/lib/kryo-2.17.jar:/usr/local/storm-0.8.2/lib/tools.macro-0.1.0.jar:/usr/local/storm-0.8.2/lib/jzmq-2.1.0.jar:/usr/local/storm-0.8.2/lib/junit-3.8.1.jar:/usr/local/storm-0.8.2/lib/jetty-util-6.1.26.jar:/usr/local/storm-0.8.2/lib/guava-13.0.jar:/usr/local/storm-0.8.2/lib/httpclient-4.1.1.jar:/usr/local/storm-0.8.2/lib/jline-0.9.94.jar:/usr/local/storm-0.8.2/lib/curator-client-1.0.1.jar:/usr/local/storm-0.8.2/lib/jetty-6.1.26.jar:/usr/local/storm-0.8.2/lib/joda-time-2.0.jar:/usr/local/storm-0.8.2/lib/ring-jetty-adapter-0.3.11.jar:/usr/local/storm-0.8.2/lib/httpcore-4.1.jar:/usr/local/storm-0.8.2/lib/core.incubator-0.1.0.jar:/usr/local/storm-0.8.2/lib/servlet-api-2.5.jar:/usr/local/storm-0.8.2/lib/curator-framework-1.0.1.jar:/usr/local/storm-0.8.2/lib/commons-io-1.4.jar:/usr/local/storm-0.8.2/lib/json-simple-1.1.jar:/usr/local/storm-0.8.2/lib/libthrift7-0.7.0.jar:/usr/local/storm-0.8.2/lib/clout-1.0.1.jar:/usr/local/storm-0.8.2/lib/objenesis-1.2.jar:/usr/local/storm-0.8.2/lib/compojure-1.1.3.jar:/usr/local/storm-0.8.2/log4j:/usr/local/storm-0.8.2/conf:/app/storm/supervisor/stormdist/sg-app-storm-180-1406080291/stormjar.jar
01:51:34:459;Server environment:java.library.path=/usr/local/lib:/opt/local/lib:/usr/lib
01:51:34:459;Server environment:java.io.tmpdir=/tmp
01:51:34:460;Server environment:java.compiler=<NA>
01:51:34:460;Server environment:os.name=Linux
01:51:34:460;Server environment:os.arch=amd64
01:51:34:460;Server environment:os.version=3.2.0-61-virtual
01:51:34:460;Server environment:user.name=storm
01:51:34:460;Server environment:user.home=/app/home/storm
01:51:34:460;Server environment:user.dir=/usr/local/storm-0.8.2
01:51:34:941;Launching worker for sg-app-storm-180-1406080291 on 4f4adac9-fbc5-43b3-b9fa-68ec9e768133:6703 with id 2a87867d-a111-4f21-8a14-1d053214313a and conf {"dev.zookeeper.path" "/tmp/dev-storm-zookeeper", "topology.tick.tuple.freq.secs" nil, "topology.fall.back.on.java.serialization" true, "topology.max.error.report.per.interval" 5, "zmq.linger.millis" 5000, "topology.skip.missing.kryo.registrations" false, "ui.childopts" "-Xmx768m -Djava.net.preferIPv4Stack=true", "storm.zookeeper.session.timeout" 20000, "nimbus.reassign" true, "topology.trident.batch.emit.interval.millis" 500, "nimbus.monitor.freq.secs" 10, "java.library.path" "/usr/local/lib:/opt/local/lib:/usr/lib", "topology.executor.send.buffer.size" 1024, "storm.local.dir" "/app/storm", "supervisor.worker.start.timeout.secs" 120, "topology.enable.message.timeouts" true, "nimbus.cleanup.inbox.freq.secs" 600, "nimbus.inbox.jar.expiration.secs" 3600, "drpc.worker.threads" 64, "topology.worker.shared.thread.pool.size" 4, "nimbus.host" "telles-storm-nimbus", "storm.zookeeper.port" 2181, "transactional.zookeeper.port" nil, "topology.executor.receive.buffer.size" 1024, "transactional.zookeeper.servers" nil, "storm.zookeeper.root" "/storm", "supervisor.enable" true, "storm.zookeeper.servers" ["telles-zkserver"], "transactional.zookeeper.root" "/transactional", "topology.acker.executors" 1, "topology.transfer.buffer.size" 1024, "topology.worker.childopts" nil, "drpc.queue.size" 128, "worker.childopts" "-Xmx768m -Djava.net.preferIPv4Stack=true", "supervisor.heartbeat.frequency.secs" 5, "topology.error.throttle.interval.secs" 10, "zmq.hwm" 0, "drpc.port" 3772, "supervisor.monitor.frequency.secs" 3, "topology.receiver.buffer.size" 8, "task.heartbeat.frequency.secs" 3, "topology.tasks" nil, "topology.spout.wait.strategy" "backtype.storm.spout.SleepSpoutWaitStrategy", "topology.max.spout.pending" nil, "storm.zookeeper.retry.interval" 1000, "topology.sleep.spout.wait.strategy.time.ms" 1, "nimbus.topology.validator" "backtype.storm.nimbus.DefaultTopologyValidator", "supervisor.slots.ports" [6700 6701 6702 6703], "topology.debug" false, "nimbus.task.launch.secs" 120, "nimbus.supervisor.timeout.secs" 60, "topology.message.timeout.secs" 30, "task.refresh.poll.secs" 10, "topology.workers" 1, "supervisor.childopts" "-Djava.net.preferIPv4Stack=true", "nimbus.thrift.port" 6627, "topology.stats.sample.rate" 0.05, "worker.heartbeat.frequency.secs" 1, "topology.acker.tasks" nil, "topology.disruptor.wait.strategy" "com.lmax.disruptor.BlockingWaitStrategy", "nimbus.task.timeout.secs" 30, "storm.zookeeper.connection.timeout" 15000, "topology.kryo.factory" "backtype.storm.serialization.DefaultKryoFactory", "drpc.invocations.port" 3773, "zmq.threads" 1, "storm.zookeeper.retry.times" 5, "topology.state.synchronization.timeout.secs" 60, "supervisor.worker.timeout.secs" 30, "nimbus.file.copy.expiration.secs" 600, "drpc.request.timeout.secs" 600, "storm.local.mode.zmq" false, "ui.port" 8080, "nimbus.childopts" "-Xmx1024m -Djava.net.preferIPv4Stack=true", "storm.cluster.mode" "distributed", "topology.optimize" true, "topology.max.task.parallelism" nil}
01:51:34:986;Starting
01:51:34:987;Initiating client connection, connectString=telles-zkserver:2181 sessionTimeout=20000 watcher=com.netflix.curator.ConnectionState@41e694e9
01:51:34:997;Opening socket connection to server telles-zkserver/10.1.0.77:2181
01:51:35:009;Socket connection established to telles-zkserver/10.1.0.77:2181, initiating session
01:51:35:021;Session establishment complete on server telles-zkserver/10.1.0.77:2181, sessionid = 0x146b9478354aa8a, negotiated timeout = 20000
01:51:35:026;Zookeeper state update: :connected:none
01:51:35:042;Session: 0x146b9478354aa8a closed
01:51:35:042;EventThread shut down
01:51:35:043;Starting
01:51:35:043;Initiating client connection, connectString=telles-zkserver:2181/storm sessionTimeout=20000 watcher=com.netflix.curator.ConnectionState@631bfb7e
01:51:35:044;Opening socket connection to server telles-zkserver/10.1.0.77:2181
01:51:35:045;Socket connection established to telles-zkserver/10.1.0.77:2181, initiating session
01:51:35:050;Session establishment complete on server telles-zkserver/10.1.0.77:2181, sessionid = 0x146b9478354aa8b, negotiated timeout = 20000
01:51:35:524;Loading executor average:[6 9]
01:51:35:537;Loaded executor tasks average:[6 9]
01:51:35:547;Finished loading executor average:[6 9]
01:51:35:558;Launching receive-thread for 4f4adac9-fbc5-43b3-b9fa-68ec9e768133:6703
01:51:35:559;Preparing bolt average:(6 7 8 9)
01:51:35:562;Prepared bolt average:(6 7 8 9)
